startDate,endDate,progress,duration,finished,S1_1,S2_1,S3_1,S4_1,S5_1,S6_1,S7_1,S8_1,S9_1,S10_1,S11_1,S12_1,S13_1,S14_1,S15_1,S16_1,S17_1,S18_1,demo,age,gender,ethnicity,ethnicity_text,education,SES
2021-11-18 14:57:20,2021-11-18 15:04:26,100,425,TRUE,look for coupon,Call someone to help,Call the other manager,Ask for a guest pass,Explain to the teacher and ask for an extra day,Stop and make shelter,"Say ""sorry Ted""",ignore,Call 911. They may be ill,Sorry I cannot help you,Call 911,Tell them ahead if time,cry and apologize,Research other options. Possibly move to bigger place.,Do some math and ration food,Hike back to where you started or find a signal,Leave the store and lock it.,Help him or get help,,41,Female,White / Caucasian,,Some College,Rung 6
2021-11-18 14:58:39,2021-11-18 15:07:01,100,502,TRUE,I ask my friends for help with this medication.,"I would call a towtruck to tow my car to the airport, so I can catch my flight. I will worry about my car being broken when I get home.",I will count down all registers and check in the cracks to make sure I didn't miss anything. If I didn't I would watch the camera.,I would pay for a new membership.,"I tell them to call my mom, so I can turn in my homework assignment.",I decide to stay put until the search team comes. I will do everything I can to stay warm and hydrated until then.,I would sell my ticket so my friend wouldn't have to miss out on the concert alone.,I would get the families attention while stopping the teenager.,I will call 911 and let them know of this driver.,"If this woman approached me, I would offer to buy her a taxi.","I would call the police and start a timer, after 5 minutes I would bust the window.","I would throw the knife away, or tell them why it is in my bag so they can dispose of it.","I would call the taxi company I used to see if the taxi driver has it, and offer them a tip to bring it to me and for keeping it safe.",I make as much room as possible and take care of him.,I pray for a miracle to happen for all of us on the ship.,"Calling 911 works, unless you have no battery, so I would keep calling until I got an answer. ",I would call where my appointment is and let them know I could be late because my boss is running late.,"I would stop and help my competitor up, so they can at least get medical attention.",,25,Female,Hispanic / Latino,,Some College,Rung 4
2021-11-18 14:58:10,2021-11-18 15:07:47,100,577,TRUE,Get a side hustle to make some more money.,Push the car out of the way and start dealing with the issue.,Put my money in the register.,Renew my membership.,"Go to the office and call home, then have mom call the teacher.",Start a fire and build some shelter.,Give Ted my ticket ,"Walk over and ask if they are with the family, if yes, then I would ask that we walk down to make sure.",Call 911 and let them know.,Apologize to her and let her know that I don't give rides to strangers.,Call the police and fire station to report animal abuse.,Walk up to security and let them know,"Take my ring off and whisper ""roll with it""","Make it work, family comes first.",Let the crew know to start rationing food and water.,Give my shirt to Todd for shade and walk to get help.,Lock the store and leave a note....the boss obviously knows that I have the appointment.,Stop and help the competitor to make sure they are alright.,,49,Male,White / Caucasian,,College Graduate (4 year),Rung 3
2021-11-18 14:57:31,2021-11-18 15:08:06,100,634,TRUE,buy it for them,just continue my way there,pay the difference,leave a message,explain to the teacher,wait it out,try to sneak in,alert the authorities,pull to a different road,tell her to try someone else,give him water,give it to security,tell the the truth,ask relatives to help,"eat less, ration, triage",take my shirt off to help shield from the sun,go to court,call them out,,26,Female,White / Caucasian,,College Graduate (4 year),Rung 7
2021-11-18 14:58:19,2021-11-18 15:08:51,100,632,TRUE,Ask friends and family for help while working more or looking for a better paying job.,Call a tow truck to take me to airport parking.,Use my own money to balance the til.,Ask if the employee can let my friend know I will not be making it.,Explain to the teacher what happened.,"Ration the food and water, look for wild food and water sources, and huddle together in a small makeshift shelter to keep warm.",Hangout somewhere else with Ted.,Ignore them.,Keep my distance and turn away from them as soon as possible.,Apologize and say I can not give them a ride.,Get security from the mall and ask for their help.,Tell the security guy and let them search my bag and take the knife.,Call the taxi service.,Reach out to family to figure out a way to get his needs met and apply for state assistance.,Ration food and try to assign people tasks to keep them distracted and hopeful.,Shade Todd the best I can and quickly try to find service.,Call my other coworkers to see if somebody can help me close the store until the manager answers.,Stop and help.,,31,Female,White / Caucasian,,Some College,Rung 4
2021-11-18 14:57:24,2021-11-18 15:09:09,100,705,TRUE,I would borrow money or not pay other bills so I could get the medicine.,I would call a Lyft and ask my husband to call AAA for the car to have it towed home or to the mechanic's.,I would put money in and question anyone else that was around.,I would ask to borrow the desk phone or go back to the office for my own phone,Ask the teacher to call my mom.,"I would try to find leaves and ground to cover myself in to stay warm and make signs for rescuers to follow with twigs, leaves and branches.",I would ask if there were any more tickets available.,I would ask the teenager if his parents were around.,Call 911 and stay far away from them.,Offer to call her a Lyft or with a few dollars.,Break the glass and get it out.,I would throw it out.,I would whisper to my sister what the situation was and call the taxi company.,I would still move him in to my apartment.,I would conserve food but make sure there was ample water.,"I would go to find water, leaving a trail behind me to get back to him.",Call my co-workers and ask them to come in for a bit.,I would pick him up and bring him back and then go back for the dogs,,54,Female,Other,black and white,Some College,Rung 6
2021-11-18 14:58:49,2021-11-18 15:09:33,100,644,TRUE,Sell any items of value that I have to pay for it.,Call an uber or Taxi.,Use money from my own pocket,Renew my membership.,Talk to my teacher and ask if I can bring it the next day,Try to build a fire and light any flares we may have.,Look for people selling tickets outside the concert or try to find one online.,Mind my business unless I was 100% positive he was not a member of the family.,Call the police and report it.,Tell her I am sorry but I cant give her a ride.,Bust the window and rescue him.,Tell security I accidentally brought it and they can dispose of it.,Try to call the Taxi driver and see if anyone else at the service has a ring I can borrow in the meantime. ,I would move in with him to care for him or I would get a bigger apartment.,Set off flares.,Try to go get help or find a spot where I have service and then come back for Todd.,Try to call another coworker but if they do not answer then I would close the shop and come back after my court appointment and reopen.,Call the police and an ambulance.,,23,Female,White / Caucasian,,Some College,Rung 2
2021-11-18 14:58:25,2021-11-18 15:09:43,100,678,TRUE,find ways to make money quick or sell assets,call a cab,I would try to solve how the money is missing. Also I would recount the drawer,I would leave a note for her at the reception desk and describe her to the person working there so they could give her my note,I would explain the situation to the teacher,find shelter to warm up to help conserve energy,tell ted to run,I would say hello to them and see how they react,honk at them a lot to see if they drive better,I would say I can't and leave unless I really had time to help,call the police,I would leave the security line and see if there is somewhere to mail it nearby,I would try to find something in my pockets that resembled a ring,look into community resources for him,"I would count the food supply, secure it, and come up with a ration plan before telling everyone.",shelter him in place and leave to find help,I would lock the store and leave to my appointment,try and help them,,32,Female,Asian / Pacific Islander,,College Graduate (4 year),Rung 3
2021-11-18 14:58:14,2021-11-18 15:10:06,100,712,TRUE,I would take out a loan to pay for the medicine while cursing republicans for blocking universal healthcare.,I would call the police to report my situation and call AAA to move my car.,Report the situation to my manager.,I would renew my membership or pay a daily fee to go play.,"I would explain the situation to my teacher. Then I would ask the office to call my mom. Although, in this scenario I am an elementary school student so I may just cry.",I would create a signal fire.,Offer to loan money to Ted to buy another ticket and then ask why he doesn't have a ticket on his cell phone in 2021. Seriously.,"I would yell at the teenager and ask Loudly, ""Are you supposed to be going through that bag?""",I would call 911 and report the licene plate number and car make/model.,I would ask for gas money in return.,I would call 911 and explain that I am going to break the front window of this car to help the dog not die.,I would self-report to the TSA and turn my knife in and explain the situtation.,I would excuse myself to call the taxi service and let whoever is running the wedding know that the ring is not here.,I would find new living conditions that work for the new situation.,I would ration supplies and explain the situation to the crew and passangers.,I would work on freeing his arm.,I would lock the store and leave a note for my boss.,"I would tie him to his sled, tie the sled to mine, and tow him and his dogs.",,35,Male,White / Caucasian,,Master's Degree (MS),Rung 6
2021-11-18 14:57:03,2021-11-18 15:10:11,100,787,TRUE,I would look for help anywhere I could. Assistance from friends and family or even a loan. Anything. ,Call a tow truck and an uber and have both ready to pick up the car and me. ,I would explain what happened and take the job loss.,I would wait for them to get there and tell them about it. I am sure that they would understand,I would tell the teacher what happened and just accept it. ,I would decide to try and make a fire and make some smoke and try to get warm.,I would likely go with him home and miss the concert. Then have him pay for the next one we go to.,I would just carefully watch and be ready to act if I needed to. Also taking care of what judgment I would make. ,I would slow down and call the police and tell them about the driver.,I would say that I have other things that I need to so and that I am sorry that I could not help. ,I would call security immediately. Try and get the owner to get there soon and maybe get a locksmith there. ,I would surrender the knife and tell them what my occupation is and my reason for travelling. ,Tell my sister immediately and ask if we could use someone's ring in an emergency so that people would not even notice. ,Ask another family member for help. They also should help if they could. I should have someone to count on in my family. ,Make sure that we ration the food and water to the bare minimum and keep everyone calm by reassuring them that everything will be ok.,I would go to get help as fast as I could. Being there with them would not help and I would have to go fast. ,Go to court and lock the store. My life is more important for that day. ,I would help them. The life of others is more important than winning the race.,,40,Male,White / Caucasian,,Some College,Rung 3
