Progress,Duration (in seconds),Finished,S1_4,S1_5,S1_6,S2_4,S2_5,S2_6,S3_4,S3_5,S3_6,S4_4,S4_5,S4_6,S5_4,S5_5,S5_6,S6_4,S6_5,S6_6,S7_4,S7_5,S7_6,S8_4,S8_5,S8_6,S9_4,S9_5,S9_6,S10_4,S10_5,S10_6,S11_4,S11_5,S11_6,S12_4,S12_5,S12_6,S13_4,S13_5,S13_6,S14_4,S14_5,S14_6,S15_4,S15_5,S15_6,S16_4,S16_5,S16_6,S17_4,S17_5,S17_6,S18_4,S18_5,S18_6,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A,S5-FR_5 - Parent Topics,S5-FR_5 - Sentiment Polarity,S5-FR_5 - Sentiment Score,S5-FR_5 - Sentiment,S5-FR_5 - Topic Sentiment Label,S5-FR_5 - Topic Sentiment Score,S5-FR_5 - Topics,FL_11_DO_FL_248,FL_11_DO_FL_265,FL_11_DO_FL_264,FL_11_DO_FL_263,FL_11_DO_FL_262,FL_11_DO_FL_261,FL_11_DO_FL_260,FL_11_DO_FL_259,FL_11_DO_FL_258,FL_11_DO_FL_257,FL_11_DO_FL_256,FL_11_DO_FL_255,FL_11_DO_FL_254,FL_11_DO_FL_253,FL_11_DO_FL_252,FL_11_DO_FL_251,FL_11_DO_FL_250,FL_11_DO_FL_249,FL_186_DO_FL_25,FL_186_DO_FL_27,FL_186_DO_FL_29,FL_186_DO_FL_31,FL_186_DO_FL_33,FL_186_DO_FL_35,FL_189_DO_FL_37,FL_189_DO_FL_39,FL_189_DO_FL_41,FL_189_DO_FL_44,FL_189_DO_FL_49,FL_189_DO_FL_51,FL_196_DO_FL_54,FL_196_DO_FL_56,FL_196_DO_FL_58,FL_196_DO_FL_60,FL_196_DO_FL_62,FL_196_DO_FL_64,FL_197_DO_FL_66,FL_197_DO_FL_68,FL_197_DO_FL_70,FL_197_DO_FL_72,FL_197_DO_FL_74,FL_197_DO_FL_76,FL_198_DO_FL_78,FL_198_DO_FL_80,FL_198_DO_FL_82,FL_198_DO_FL_84,FL_198_DO_FL_86,FL_198_DO_FL_88,FL_199_DO_FL_90,FL_199_DO_FL_92,FL_199_DO_FL_94,FL_199_DO_FL_96,FL_199_DO_FL_98,FL_199_DO_FL_100,FL_200_DO_FL_108,FL_200_DO_FL_110,FL_200_DO_FL_112,FL_200_DO_FL_114,FL_200_DO_FL_116,FL_200_DO_FL_118,FL_201_DO_FL_120,FL_201_DO_FL_123,FL_201_DO_FL_125,FL_201_DO_FL_127,FL_201_DO_FL_129,FL_201_DO_FL_131,FL_202_DO_FL_133,FL_202_DO_FL_137,FL_202_DO_FL_135,FL_202_DO_FL_139,FL_202_DO_FL_141,FL_202_DO_FL_143,FL_203_DO_FL_145,FL_203_DO_FL_147,FL_203_DO_FL_149,FL_203_DO_FL_151,FL_203_DO_FL_153,FL_203_DO_FL_155,FL_204_DO_FL_157,FL_204_DO_FL_161,FL_204_DO_FL_163,FL_204_DO_FL_165,FL_204_DO_FL_167,FL_204_DO_FL_169,FL_205_DO_FL_159,FL_205_DO_FL_171,FL_205_DO_FL_173,FL_205_DO_FL_175,FL_205_DO_FL_177,FL_205_DO_FL_179,FL_206_DO_FL_207,FL_206_DO_FL_208,FL_206_DO_FL_209,FL_206_DO_FL_210,FL_206_DO_FL_211,FL_206_DO_FL_212,FL_213_DO_FL_214,FL_213_DO_FL_215,FL_213_DO_FL_216,FL_213_DO_FL_217,FL_213_DO_FL_218,FL_213_DO_FL_219,FL_220_DO_FL_221,FL_220_DO_FL_222,FL_220_DO_FL_223,FL_220_DO_FL_224,FL_220_DO_FL_225,FL_220_DO_FL_226,FL_227_DO_FL_228,FL_227_DO_FL_229,FL_227_DO_FL_230,FL_227_DO_FL_231,FL_227_DO_FL_232,FL_227_DO_FL_233,FL_234_DO_FL_235,FL_234_DO_FL_236,FL_234_DO_FL_237,FL_234_DO_FL_238,FL_234_DO_FL_239,FL_234_DO_FL_240,FL_241_DO_FL_242,FL_241_DO_FL_243,FL_241_DO_FL_244,FL_241_DO_FL_245,FL_241_DO_FL_246,FL_241_DO_FL_247
100,172,TRUE,66,90,34,,,,,,,6,2,2,83,89,39,,,,,,,,,,,,,71,94,71,,,,,,,18,9,6,,,,82,97,98,,,,,,,,,,,35,Male,Asian / Pacific Islander,,College Graduate (4 year),Rung 4,taking out a loan,rescheduling for a later flight,getting an advance payday loan,pulling the fire alarm,bringing in the assignment the next day,huddling to conserve energy,pretending they are conjoined twins,keeping an eye on him,honking an angry message in Morse code,turning invisible,asking to use the mall's loudspeaker,hiding the knife in someone else's bag,running away,checking in on his father daily,requesting supplies to be airdropped,giving Todd her water,locking up the store,stealing his dogs for extra speed,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,1,,,,1,,,1,,,,,,,,,1,,,,,,,1,,,,1,,,,,,1,,,,,,1,,,,,1,,,,,,,,1,,
100,139,TRUE,,,,,,,62,34,35,76,83,78,70,67,63,,,,,,,,,,,,,,,,,,,,,,60,37,34,,,,,,,78,83,83,73,83,76,,,,,27,Male,White / Caucasian,,College Graduate (4 year),Rung 5,searching for the medication on the black market,calling a taxi,overcharging the next customers,renewing her membership,calling her mom,throwing away all of the food,trying to buy a ticket off another person,reading his mind,honking at the driver until they pull over,calling her a cab,slashing the tires,asking to check the knife,blaming it on the maid of honor,abandoning his father,throwing disobedient passengers off the boat,hiking until she finds cell service,telling his lawyer that he’s sick,carrying her competitor on her sled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,1,,,1,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,1,,,,,,1,,,,,,1,,,1,,,,,,,,,,1,,1,,,,,
100,218,TRUE,,,,,,,10,3,5,,,,,,,,,,,,,75,67,62,,,,,,,,,,13,5,9,,,,,,,,,,65,45,40,88,89,87,4,4,4,,31,Male,White / Caucasian,,College Graduate (4 year),Rung 6,going on strike for better wages,demanding that the airline delays the flight,staging a robbery,pulling the fire alarm,lying that her house burnt down,collecting wood to start a fire,giving her ticket to Ted,keeping an eye on him,taking a detour at the next exit,refusing to drive her,pouring water on the car to cool it,hiding the knife in someone else's bag,running away,moving into his father’s apartment,organizing a fishing crew,leaving Todd to save herself,calling his lawyer,stealing his dogs for extra speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,1,,,,,,,1,1,,,,,,,1,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,1,,,,1,,,,,,,1,,1,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,1,,
100,118,TRUE,,,,,,,,,,,,,,,,100,100,100,0,10,0,,,,95,100,100,5,0,0,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,,32,Female,White / Caucasian,,College Graduate (4 year),Rung 6,committing credit card fraud,stealing a passing driver's car,staging a robbery,lying that she left her card inside,calling her mom,collecting wood to start a fire,pretending they are conjoined twins,making cat noises at him until he leaves,pulling over and calling 911,stealing whatever she has on her,calling emergency services,threatening security with the knife,calling the taxi company,buying his father a tent,selling all the food to the highest bidder,sawing Todd’s arm off,asking a friend to take over,hiding him in the snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,1,,,1,,,,,,1,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,1,,,,,,,,,1,1,,,,,,,,,,,1,,,,,1,,,1,,,,,,,1,,,,,,,,1,
100,309,TRUE,53,74,48,65,47,64,,,,,,,,,,,,,,,,80,95,50,,,,,,,20,70,30,51,40,40,,,,48,65,58,,,,,,,,,,,,,,29,Female,White / Caucasian,,College Graduate (4 year),Rung 7,starting a fundraiser,taking a public bus,selling one of his kidneys,crawling past the front desk,hypnotizing the teacher,stealing all of the food and water,stealing someone else's ticket,asking the parents if they know him,ramming into the car,yelling in gibberish until she leaves,checking that the doors are locked,pretending the knife is part of a hip replacement,borrowing their mom’s wedding ring,pitching his situation to a reality TV network,rationing their food,yelling at Todd for getting stuck,leaving the store unattended,leaving her dogs with him,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,1,,,,,1,,,,,,,1,,1,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,1,,,1,,,,,,,,,1,,1,,,,,,,,,,,1,,,,1,,,,,,,,1
100,122,TRUE,,,,0,0,0,100,100,100,,,,0,0,0,,,,70,50,70,,,,0,0,0,,,,,,,,,,,,,,,,,,,80,100,100,,,,,,,,30,Female,White / Caucasian,,Vocational/Technical School (2 year),Rung 3,committing credit card fraud,demanding that the airline delays the flight,explaining the situation to his boss,paying for a day-pass to the gym,hypnotizing the teacher,stealing all of the food and water,going without Ted,reading his mind,honking an angry message in Morse code,stealing whatever she has on her,slashing the tires,storing the knife in an airport locker,stealing someone else’s ring,moving into his father’s apartment,organizing a fishing crew,hiking until she finds cell service,staging a break-in at the store,finishing the race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,1,,,,,,,,,1,,,,,1,,,1,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,1,,,,1,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,,,,,,,,1,,1,,,,
100,119,TRUE,,,,,,,87,86,92,,,,,,,,,,1,1,1,,,,,,,,,,4,4,4,,,,,,,83,90,94,15,10,5,,,,82,71,64,,,,,57,Male,White / Caucasian,,Some College,Rung 4,starting a fundraiser,calling a taxi,getting an advance payday loan,borrowing someone's phone,quickly trying to redo the assignment,huddling to conserve energy,teleporting into the concert,making cat noises at him until he leaves,ramming into the car,yelling in gibberish until she leaves,lighting a fire under the car,threatening security with the knife,calling the taxi company,checking in on his father daily,selling all the food to the highest bidder,getting her arm stuck in solidarity,locking up the store,hiding him in the snow,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,1,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,1,,,,1,,,,,,,,1,1,,,,,,,,1,,,,,,,,1,,,,,,1,,,1,,,,,,,,,1,
100,319,TRUE,30,80,25,,,,,,,70,100,80,,,,80,100,90,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,80,100,85,,30,Male,Black / African American,,Some College,Rung 4,going on strike for better wages,taking a public bus,overcharging the next customers,renewing her membership,copying a friend's assignment,searching for a water source,stealing someone else's ticket,tackling him and holding him down,pulling over and calling 911,taking her to his house but no further,checking that the doors are locked,taking a train instead,blaming it on the maid of honor,buying his father a tent,requesting supplies to be airdropped,leaving Todd to save herself,calling his lawyer,leaving her dogs with him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,1,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,1,,,1,,,,,1,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,1,,,1,,,,,,,1,,,1,,,,,,,,,,,1
100,190,TRUE,,,,,,,,,,95,89,86,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,94,98,94,,,,,,,,,,,,,3,84,86,,52,Male,Hispanic / Latino,,College Graduate (4 year),Rung 8,switching insurance plans,stealing a passing driver's car,staging a robbery,paying for a day-pass to the gym,hypnotizing the teacher,throwing away all of the food,giving her ticket to Ted,keeping an eye on him,honking at the driver until they pull over,calling her a cab,asking to use the mall's loudspeaker,pretending the knife is part of a hip replacement,telling his sister as soon as possible,abandoning his father,serving engine fuel to the passengers,giving Todd her water,telling his lawyer that he’s sick,carrying her competitor on her sled,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,1,,,,,,,,,1,,,,,,,1,,1,,,,,,,1,,,,1,,,,,,,1,,,,,1,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,1,,,1,,,,,,,,1,,1,,,,,
100,474,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,100,50,50,100,10,91,100,50,0,0,0,12,25,0,100,100,100,,,,,,,,,,,54,Male,White / Caucasian,,Some College,Rung 4,searching for the medication on the black market,trying to convince a passing driver to trade cars,paying the money from his own wallet,crawling past the front desk,lying that her house burnt down,throwing away all of the food,trying to buy a ticket off another person,waving to the parents,taking a detour at the next exit,turning invisible,pouring water on the car to cool it,asking to check the knife,stealing someone else’s ring,pitching his situation to a reality TV network,rationing their food,sawing Todd’s arm off,asking a friend to take over,finishing the race,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,1,,,,,,1,,,,,,1,,,1,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,1,,,,,1,,1,,,,,,,1,,,,,,,1,,,,,1,,,,
