id,context,text,rater1,rater2,rater3
1,1,look for coupon,10,0,0
6,1,I would borrow money or not pay other bills so I could get the medicine.,15,11,11
22,1,"Call the pharmacy, see if I can a partial script of the medication or if there was a generic version. I would try using an app like GoodRX to see where the cheapest pharmacy would be. Possibly call the Dr to see if there are samples available. Or call the manufacturer of the medication, sometimes they have programs where people can medication for a very very cheap price or free. If all that fails I would ask someone if I could borrow the money, then start figuring out what I can sell or cut end to save the money to pay them back.",0,10,10
23,1,"Get on mturk, go trade some crypto, borrow money, pawn stuff. any or all of those",6,0,6
25,1,I would get the medication on credit.,1,0,0
33,1,Ask someone for help,0,1,1
34,1,borrow money,15,4,4
36,1,Borrow the money.,15,4,4
40,1,I would ask for money from someone.,0,1,1
43,1,borrow to get the medicine,15,4,4
45,1,"Try to find every way possible to get a discount on this medication using a site like GoodRX, etc. Otherwise I'll have to borrow the money from somebody and pay them back.",10,12,12
46,1,borrow money,15,4,4
48,1,Sell feet pictures.,6,0,6
49,1,try to borrow the money,15,4,4
51,1,Charge it to credit card,1,11,11
61,1,"I would ask someone close to me for a loan, then find an extra job or apply for a loan to pay them back.",4,1,1
66,1,I would go into as much debt as possible and declare bankruptcy,4,0,0
72,1,medical insurance,14,-99,14
74,1,more information to collect and get it,0,-99,0
78,1,Search of coupons,10,0,0
80,1,Let primary care physician know the circumstances.  Ask if there are any programs that will help cover the medicine.  Ask if there is a generic for the drug or another cheaper drug that will have same effect.,14,12,12
85,1,I would look to any programs that might help.,0,3,3
93,1,Take out a credit card,1,0,0
94,1,Take another shift for work in order to make more money,6,0,6
96,1,Ask to borrow the money,15,1,1
99,1,"Contact the manufacturer to see if it can be donated, post a gofundme, go to the local health clinic to see if it is available through them.",10,0,10
100,1,"Call the pharmaceutical company, the hospital, charities, etc. until aid is found.",10,14,14
1,2,Call someone to help,0,4,4
3,2,Push the car out of the way and start dealing with the issue.,0,13,13
9,2,I would call the police to report my situation and call AAA to move my car.,0,2,2
15,2,Call a tow truck and a close friend and see if they can come wait with my car while I grab a cab to the airport.,2,4,2
22,2,"Call a tow truck first, they take forever to get there. Call a family member or a friend to come take your place, have them bring someone else who can drive you to the airport.",2,0,2
47,2,Call highway patrol or my car insurance to get help getting my car moving again,14,2,14
58,2,"Hopefully come to my senses and not participate in such a cruel activity. But i would be very worried, i might try to call the airport and alert them and see what my options were for a later flight.",5,7,7
60,2,"Call the emergency roadside assistance and explain the situation. If they are going to be unable to figure it out in time, then call the airport and see if I can reschedule my flight.",14,2,14
68,2,I would call a tow truck to tow my car to the Airport while I got a ride from a taxi or Uber. I'd worry about the issue after I got back and plan for fixing it during the trip. t,2,0,2
77,2,I wouolod get the car off of the road and push it somewhere safe. I would call an Uber ride to make it to the airport. While on the way I will make arrangements to have my car picked up or towed.,1,0,1
84,2,Unsure what to do,0,-99,0
85,2,I would leave my car and hitch a ride and call a friend to have it towed for me.,16,3,3
1,3,Call the other manager,2,0,0
10,3,I would explain what happened and take the job loss.,2,0,2
17,3,tell boss to check the cameras,8,2,8
21,3,I have maintain for my peace and solve the missing amount for confidently,9,-99,0
30,3,I cover the register and have security run the cameras and audit the registers so we can find out what went wrong.,1,8,8
46,3,I would try to figure out what happened to the money,13,4,13
50,3,"Do my best to go back through tape to figure out where the mistake happened, then talk to management about it.",9,8,8
51,3,Note the loss at the end of the shift.,2,1,2
52,3,After counting the money again and again I would put the money in the register and hope for the best.,9,6,9
53,3,I would double count then document the discrepancy for the accountants to review.  I would not be afraid of losing my job because it was obviously a one off situation.,9,0,9
67,3,Find out where the discrepancy is,9,13,9
71,3,"File a report explaining money is missing. Review security tapes, find the theif.",2,8,8
