"type","condition1","condition2","condition3","trialNo","target","stim1","stim2","stim3","key","ITI","presTime","ISI","presTimeS2","stimFormat","title","content","trialText","button1","feedbackIncorrect","feedbackTime","random","randomBlock","keyboard","subjectGroup","responseWindow","timestamp","responses","RTs","correct","turkID","age","sex","education","handedness","sexOrientation","ethnicity","other1","other2","other3","other4","other5","browser","version","screenWidth","screenHeight","OS","OS_lang","calibration","ip","code"
"test","na","na","na","na","Is it possible for Brian to. . . .","na","na","na","na",600,"na","na","na","word","na","na","na","na","na","1500","na",3,"na",1,"1550",190796,"99",1579,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.84,NA,"hxX9oFgpG4enMbIB"
"test","impossible","scenario3","speeded","58","use some monopoly money instead","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",192986,"99",1572,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.84,NA,"hxX9oFgpG4enMbIB"
"test","possible","scenario3","speeded","53","use money from his own wallet","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",195186,"99",1573,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.84,NA,"hxX9oFgpG4enMbIB"
"test","possible","scenario3","speeded","51","get a payday advance loan","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",197362,"99",1559,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.84,NA,"hxX9oFgpG4enMbIB"
"test","possible","scenario3","speeded","54","add in money from his daily tips","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",199544,"99",1570,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.84,NA,"hxX9oFgpG4enMbIB"
"test","irrational","scenario3","speeded","72","discount food to encourage tipping","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",201736,"99",1566,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.84,NA,"hxX9oFgpG4enMbIB"
"test","impossible","scenario3","speeded","59","take pictures of missing bills","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",203921,"99",1571,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.84,NA,"hxX9oFgpG4enMbIB"
"test","possible","scenario3","speeded","49","explain the situation to his boss","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",206113,"99",1578,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.84,NA,"hxX9oFgpG4enMbIB"
"test","impossible","scenario3","speeded","57","turn the cash register invisible","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",208298,"99",1568,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.84,NA,"hxX9oFgpG4enMbIB"
"test","possible","scenario3","speeded","56","write a check for $50.75","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",210499,"99",1572,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.84,NA,"hxX9oFgpG4enMbIB"
"test","possible","scenario3","speeded","52","sell something he owns for money","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",212689,"99",1563,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.84,NA,"hxX9oFgpG4enMbIB"
"test","irrational","scenario3","speeded","69","close the store five hours early","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",214873,"99",1566,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.84,NA,"hxX9oFgpG4enMbIB"
"test","impossible","scenario3","speeded","60","get the money by sneezing a lot","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",217057,"99",1567,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.84,NA,"hxX9oFgpG4enMbIB"
"test","possible","scenario3","speeded","55","borrow money from a friend","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",219219,"99",1556,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.84,NA,"hxX9oFgpG4enMbIB"
"test","possible","scenario3","speeded","50","ask other employees what to do","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",221401,"99",1567,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.84,NA,"hxX9oFgpG4enMbIB"
"test","irrational","scenario3","speeded","70","pay with his retirement fund","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",223569,"99",1555,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.84,NA,"hxX9oFgpG4enMbIB"
"test","irrational","scenario3","speeded","71","try to invent new pastries","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",225753,"99",1567,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.84,NA,"hxX9oFgpG4enMbIB"
"test","na","na","na","na","Is it possible for Mary to. . . .","na","na","na","na",600,"na","na","na","word","na","na","na","na","na","1500","na",5,"na",1,"1550",241415,"99",1580,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.84,NA,"hxX9oFgpG4enMbIB"
"test","possible","scenario5","speeded","103","ask her mom to bring the homework","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",5,"f j",1,"1550",243591,"99",1567,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.84,NA,"hxX9oFgpG4enMbIB"
"test","improbable","scenario5","speeded","115","remember she has an extra copy","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",5,"f j",1,"1550",245782,"99",1570,0,1,34,"female",4,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.84,NA,"hxX9oFgpG4enMbIB"
