"type","condition1","condition2","condition3","trialNo","target","stim1","stim2","stim3","key","ITI","presTime","ISI","presTimeS2","stimFormat","title","content","trialText","button1","feedbackIncorrect","feedbackTime","random","randomBlock","keyboard","subjectGroup","responseWindow","timestamp","responses","RTs","correct","turkID","age","sex","education","handedness","sexOrientation","ethnicity","other1","other2","other3","other4","other5","browser","version","screenWidth","screenHeight","OS","OS_lang","calibration","ip","code"
"test","na","na","na","na","Is it true or false that Brad could do the following things?","na","na","na","na",600,"na","na","na","word","na","na","na","na","na","2000","na",6,"na",6,"2000",196787,"99",2024,0,1,29,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1280,800,"Windows","en-US",0.83,NA,"VYOBpOkwCWfcXzK2"
"test","possible","scenario6","reflective","126","build a large fire to alert rescuers","na","na","na","j",600,"na","na","na","word","na","na","na","na","na","na","1",6,"f j",6,"na",200339,"f",2936,0,1,29,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1280,800,"Windows","en-US",0.83,NA,"VYOBpOkwCWfcXzK2"
"test","immoral","scenario6","reflective","135","rob other hikers they meet","na","na","na","j",600,"na","na","na","word","na","na","na","na","na","na","1",6,"f j",6,"na",202133,"j",1187,1,1,29,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1280,800,"Windows","en-US",0.83,NA,"VYOBpOkwCWfcXzK2"
"test","impossible","scenario6","reflective","132","grind up rocks for food and water","na","na","na","f",600,"na","na","na","word","na","na","na","na","na","na","1",6,"f j",6,"na",204081,"f",1334,1,1,29,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1280,800,"Windows","en-US",0.83,NA,"VYOBpOkwCWfcXzK2"
"test","possible","scenario6","reflective","121","stay put and wait for help","na","na","na","j",600,"na","na","na","word","na","na","na","na","na","na","1",6,"f j",6,"na",206571,"f",1872,0,1,29,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1280,800,"Windows","en-US",0.83,NA,"VYOBpOkwCWfcXzK2"
"test","possible","scenario6","reflective","122","follow a river out of the wilderness","na","na","na","j",600,"na","na","na","word","na","na","na","na","na","na","1",6,"f j",6,"na",208259,"f",1078,0,1,29,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1280,800,"Windows","en-US",0.83,NA,"VYOBpOkwCWfcXzK2"
"test","immoral","scenario6","reflective","134","leave the weakest people behind","na","na","na","j",600,"na","na","na","word","na","na","na","na","na","na","1",6,"f j",6,"na",210523,"f",1648,0,1,29,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1280,800,"Windows","en-US",0.83,NA,"VYOBpOkwCWfcXzK2"
"test","possible","scenario6","reflective","124","find a river for fresh water and fish","na","na","na","j",600,"na","na","na","word","na","na","na","na","na","na","1",6,"f j",6,"na",212404,"f",1262,0,1,29,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1280,800,"Windows","en-US",0.83,NA,"VYOBpOkwCWfcXzK2"
"test","possible","scenario6","reflective","125","get more food by hunting and fishing","na","na","na","j",600,"na","na","na","word","na","na","na","na","na","na","1",6,"f j",6,"na",214390,"f",1378,0,1,29,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1280,800,"Windows","en-US",0.83,NA,"VYOBpOkwCWfcXzK2"
"test","possible","scenario6","reflective","127","create a shelter to stay warm","na","na","na","j",600,"na","na","na","word","na","na","na","na","na","na","1",6,"f j",6,"na",215976,"f",984,0,1,29,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1280,800,"Windows","en-US",0.83,NA,"VYOBpOkwCWfcXzK2"
"test","possible","scenario6","reflective","128","be found by the rescue crew","na","na","na","j",600,"na","na","na","word","na","na","na","na","na","na","1",6,"f j",6,"na",217609,"f",1020,0,1,29,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1280,800,"Windows","en-US",0.83,NA,"VYOBpOkwCWfcXzK2"
"test","immoral","scenario6","reflective","136","kill his friend's pet dog for food","na","na","na","j",600,"na","na","na","word","na","na","na","na","na","na","1",6,"f j",6,"na",218967,"j",741,1,1,29,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1280,800,"Windows","en-US",0.83,NA,"VYOBpOkwCWfcXzK2"
"test","impossible","scenario6","reflective","129","use his mind to keep everyone warm","na","na","na","f",600,"na","na","na","word","na","na","na","na","na","na","1",6,"f j",6,"na",222113,"j",2528,0,1,29,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1280,800,"Windows","en-US",0.83,NA,"VYOBpOkwCWfcXzK2"
"test","impossible","scenario6","reflective","131","alert airplanes overhead  by yelling","na","na","na","f",600,"na","na","na","word","na","na","na","na","na","na","1",6,"f j",6,"na",224950,"j",2224,0,1,29,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1280,800,"Windows","en-US",0.83,NA,"VYOBpOkwCWfcXzK2"
"test","possible","scenario6","reflective","123","alert rescuers with emergency flares","na","na","na","j",600,"na","na","na","word","na","na","na","na","na","na","1",6,"f j",6,"na",227981,"f",2420,0,1,29,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1280,800,"Windows","en-US",0.83,NA,"VYOBpOkwCWfcXzK2"
"test","impossible","scenario6","reflective","130","make new jackets from pine trees","na","na","na","f",600,"na","na","na","word","na","na","na","na","na","na","1",6,"f j",6,"na",232289,"f",3695,1,1,29,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1280,800,"Windows","en-US",0.83,NA,"VYOBpOkwCWfcXzK2"
"test","immoral","scenario6","reflective","133","secretly take his friends' food","na","na","na","j",600,"na","na","na","word","na","na","na","na","na","na","1",6,"f j",6,"na",237709,"j",4816,1,1,29,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1280,800,"Windows","en-US",0.83,NA,"VYOBpOkwCWfcXzK2"
"test","na","na","na","na","Is it true or false that Heinz could do the following things?","na","na","na","na",600,"na","na","na","word","na","na","na","na","na","2000","na",1,"na",6,"2000",269320,"99",2009,0,1,29,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1280,800,"Windows","en-US",0.83,NA,"VYOBpOkwCWfcXzK2"
