"type","condition1","condition2","condition3","trialNo","target","stim1","stim2","stim3","key","ITI","presTime","ISI","presTimeS2","stimFormat","title","content","trialText","button1","feedbackIncorrect","feedbackTime","random","randomBlock","keyboard","subjectGroup","responseWindow","timestamp","responses","RTs","correct","turkID","age","sex","education","handedness","sexOrientation","ethnicity","other1","other2","other3","other4","other5","browser","version","screenWidth","screenHeight","OS","OS_lang","calibration","ip","code"
"test","na","na","na","na","Is it true or false that Liz may do the following things?","na","na","na","na",600,"na","na","na","word","na","na","na","na","na","2000","na",4,"na",6,"2000",234956,"99",2028,0,1,46,"male",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1600,900,"Windows","en-US",0.8,NA,"q7gdhEkrrESrkGLF"
"test","improbable","scenario4","reflective","90","receive a free lifetime membership","na","na","na","j",600,"na","na","na","word","na","na","na","na","na","na","1",4,"f j",6,"na",237370,"j",1808,1,1,46,"male",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1600,900,"Windows","en-US",0.8,NA,"q7gdhEkrrESrkGLF"
"test","possible","scenario4","reflective","74","go for a run outside instead","na","na","na","j",600,"na","na","na","word","na","na","na","na","na","na","1",4,"f j",6,"na",239659,"f",1681,0,1,46,"male",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1600,900,"Windows","en-US",0.8,NA,"q7gdhEkrrESrkGLF"
"test","possible","scenario4","reflective","78","pay for a one-day gym pass","na","na","na","j",600,"na","na","na","word","na","na","na","na","na","na","1",4,"f j",6,"na",241917,"f",1650,0,1,46,"male",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1600,900,"Windows","en-US",0.8,NA,"q7gdhEkrrESrkGLF"
"test","possible","scenario4","reflective","79","be allowed in just this once","na","na","na","j",600,"na","na","na","word","na","na","na","na","na","na","1",4,"f j",6,"na",244451,"f",1922,0,1,46,"male",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1600,900,"Windows","en-US",0.8,NA,"q7gdhEkrrESrkGLF"
"test","possible","scenario4","reflective","75","decide to lift weights at home","na","na","na","j",600,"na","na","na","word","na","na","na","na","na","na","1",4,"f j",6,"na",246331,"f",1268,0,1,46,"male",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1600,900,"Windows","en-US",0.8,NA,"q7gdhEkrrESrkGLF"
"test","impossible","scenario4","reflective","84","turn her hat into a gym pass","na","na","na","f",600,"na","na","na","word","na","na","na","na","na","na","1",4,"f j",6,"na",248484,"j",1538,0,1,46,"male",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1600,900,"Windows","en-US",0.8,NA,"q7gdhEkrrESrkGLF"
"test","possible","scenario4","reflective","77","use a friend's guest pass","na","na","na","j",600,"na","na","na","word","na","na","na","na","na","na","1",4,"f j",6,"na",251696,"j",2610,1,1,46,"male",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1600,900,"Windows","en-US",0.8,NA,"q7gdhEkrrESrkGLF"
"test","improbable","scenario4","reflective","92","discover the gym is free today","na","na","na","j",600,"na","na","na","word","na","na","na","na","na","na","1",4,"f j",6,"na",253930,"j",1626,1,1,46,"male",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1600,900,"Windows","en-US",0.8,NA,"q7gdhEkrrESrkGLF"
"test","impossible","scenario4","reflective","83","renew her membership by blinking","na","na","na","f",600,"na","na","na","word","na","na","na","na","na","na","1",4,"f j",6,"na",257521,"j",2973,0,1,46,"male",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1600,900,"Windows","en-US",0.8,NA,"q7gdhEkrrESrkGLF"
