"type","condition1","condition2","condition3","trialNo","target","stim1","stim2","stim3","key","ITI","presTime","ISI","presTimeS2","stimFormat","title","content","trialText","button1","feedbackIncorrect","feedbackTime","random","randomBlock","keyboard","subjectGroup","responseWindow","timestamp","responses","RTs","correct","turkID","age","sex","education","handedness","sexOrientation","ethnicity","other1","other2","other3","other4","other5","browser","version","screenWidth","screenHeight","OS","OS_lang","calibration","ip","code"
"test","na","na","na","na","Is it true or false that Liz might do the following things?","na","na","na","na",600,"na","na","na","word","na","na","na","na","na","2000","na",4,"na",1,"1550",156390,"99",1556,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario4","speeded","74","go for a run outside instead","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",4,"f j",1,"1550",158357,"j",1363,1,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario4","speeded","76","eat lunch instead of working out","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",4,"f j",1,"1550",160516,"99",1556,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario4","speeded","77","use a friend's guest pass","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",4,"f j",1,"1550",162049,"f",931,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","impossible","scenario4","speeded","84","turn her hat into a gym pass","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",4,"f j",1,"1550",163799,"f",1146,1,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","impossible","scenario4","speeded","82","wish all gyms to be free forever","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",4,"f j",1,"1550",165494,"j",1093,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","immoral","scenario4","speeded","86","claim she left her wallet inside","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",4,"f j",1,"1550",167018,"f",921,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","immoral","scenario4","speeded","85","take someone else's gym card","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",4,"f j",1,"1550",168578,"f",956,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","immoral","scenario4","speeded","87","sneak past the gym attendant","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",4,"f j",1,"1550",170171,"j",990,1,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario4","speeded","73","wait to go to the gym tomorrow","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",4,"f j",1,"1550",171843,"f",1069,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","impossible","scenario4","speeded","81","turn invisible and go in","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",4,"f j",1,"1550",173417,"j",971,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","impossible","scenario4","speeded","83","renew her membership by blinking","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",4,"f j",1,"1550",175100,"j",1079,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario4","speeded","75","decide to lift weights at home","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",4,"f j",1,"1550",176665,"j",961,1,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario4","speeded","80","renew her gym membership","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",4,"f j",1,"1550",178139,"f",872,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","immoral","scenario4","speeded","88","go in the back door without paying","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",4,"f j",1,"1550",179483,"j",741,1,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario4","speeded","78","pay for a one-day gym pass","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",4,"f j",1,"1550",180992,"j",905,1,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario4","speeded","79","be allowed in just this once","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",4,"f j",1,"1550",182419,"f",824,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","na","na","na","na","Is it true or false that Heinz might do the following things?","na","na","na","na",600,"na","na","na","word","na","na","na","na","na","2000","na",1,"na",1,"1550",214659,"99",1555,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario1","speeded","1","sell some of his stocks or bonds","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",1,"f j",1,"1550",215948,"j",686,1,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario1","speeded","3","buy a different insurance plan","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",1,"f j",1,"1550",217137,"f",587,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","impossible","scenario1","speeded","11","grow the money on a tree","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",1,"f j",1,"1550",218329,"j",589,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario1","speeded","5","borrow the money from a bank","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",1,"f j",1,"1550",219672,"j",741,1,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario1","speeded","7","loan the money from his family","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",1,"f j",1,"1550",220870,"f",594,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario1","speeded","8","sell an extra car for the money","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",1,"f j",1,"1550",222165,"f",692,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","immoral","scenario1","speeded","15","commit credit card fraud","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",1,"f j",1,"1550",223412,"j",644,1,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","impossible","scenario1","speeded","9","be given the money by a turtle","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",1,"f j",1,"1550",225063,"j",1048,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","immoral","scenario1","speeded","14","blackmail someone for the money","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",1,"f j",1,"1550",226472,"f",807,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","impossible","scenario1","speeded","12","get the money by clapping","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",1,"f j",1,"1550",227709,"j",634,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","impossible","scenario1","speeded","10","make the money time traveling","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",1,"f j",1,"1550",229065,"j",752,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario1","speeded","4","enroll in federal healthcare","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",1,"f j",1,"1550",230482,"j",814,1,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario1","speeded","6","be given the money by a friend","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",1,"f j",1,"1550",231900,"j",815,1,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario1","speeded","2","use a generic medication instead","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",1,"f j",1,"1550",233235,"f",731,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","immoral","scenario1","speeded","13","steal the money from his work","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",1,"f j",1,"1550",234535,"j",697,1,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","immoral","scenario1","speeded","16","get the medicine by stealing","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",1,"f j",1,"1550",235758,"f",620,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","na","na","na","na","Is it true or false that Brad might do the following things?","na","na","na","na",600,"na","na","na","word","na","na","na","na","na","2000","na",6,"na",1,"1550",270028,"99",1555,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario6","speeded","121","stay put and wait for help","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",6,"f j",1,"1550",272187,"99",1555,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario6","speeded","126","build a large fire to alert rescuers","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",6,"f j",1,"1550",274343,"99",1554,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario6","speeded","127","create a shelter to stay warm","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",6,"f j",1,"1550",276501,"99",1555,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","impossible","scenario6","speeded","130","make new jackets from pine trees","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",6,"f j",1,"1550",277796,"j",691,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","irrational","scenario6","speeded","144","eat all his food immediately","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",6,"f j",1,"1550",279954,"99",1555,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario6","speeded","125","get more food by hunting and fishing","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",6,"f j",1,"1550",282112,"99",1555,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","impossible","scenario6","speeded","132","grind up rocks for food and water","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",6,"f j",1,"1550",283370,"j",654,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","impossible","scenario6","speeded","131","alert airplanes overhead  by yelling","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",6,"f j",1,"1550",285527,"99",1554,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","irrational","scenario6","speeded","142","eat random berries and leaves","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",6,"f j",1,"1550",286794,"j",664,1,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","impossible","scenario6","speeded","129","use his mind to keep everyone warm","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",6,"f j",1,"1550",288933,"j",1536,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","irrational","scenario6","speeded","141","go hunting for water buffalo","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",6,"f j",1,"1550",290314,"j",779,1,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","irrational","scenario6","speeded","143","venture off independently","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",6,"f j",1,"1550",291796,"j",880,1,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario6","speeded","123","alert rescuers with emergency flares","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",6,"f j",1,"1550",293954,"99",1555,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario6","speeded","124","find a river for fresh water and fish","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",6,"f j",1,"1550",296112,"99",1555,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario6","speeded","122","follow a river out of the wilderness","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",6,"f j",1,"1550",297649,"j",931,1,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario6","speeded","128","be found by the rescue crew","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",6,"f j",1,"1550",299804,"99",1553,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","na","na","na","na","Is it true or false that Brian might do the following things?","na","na","na","na",600,"na","na","na","word","na","na","na","na","na","2000","na",3,"na",1,"1550",313939,"99",1554,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario3","speeded","56","write a check for $50.75","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",315240,"f",698,0,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
"test","possible","scenario3","speeded","50","ask other employees what to do","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",316480,"j",636,1,1,43,"female",3,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1366,768,"Windows","en-US",0.71,NA,"J77gFH7AVDIAyWNz"
