"type","condition1","condition2","condition3","trialNo","target","stim1","stim2","stim3","key","ITI","presTime","ISI","presTimeS2","stimFormat","title","content","trialText","button1","feedbackIncorrect","feedbackTime","random","randomBlock","keyboard","subjectGroup","responseWindow","timestamp","responses","RTs","correct","turkID","age","sex","education","handedness","sexOrientation","ethnicity","other1","other2","other3","other4","other5","browser","version","screenWidth","screenHeight","OS","OS_lang","calibration","ip","code"
"test","na","na","na","na","Is it true or false that Brian ought to do the following things?","na","na","na","na",600,"na","na","na","word","na","na","na","na","na","2000","na",3,"na",1,"1550",212510,"99",1569,0,1,41,"female",5,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1366,768,"Windows","en-US",0.87,NA,"JuiIasRy2YTrLJlo"
"test","possible","scenario3","speeded","53","use money from his own wallet","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",214679,"99",1556,0,1,41,"female",5,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1366,768,"Windows","en-US",0.87,NA,"JuiIasRy2YTrLJlo"
"test","impossible","scenario3","speeded","60","get the money by sneezing a lot","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",216845,"99",1556,0,1,41,"female",5,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1366,768,"Windows","en-US",0.87,NA,"JuiIasRy2YTrLJlo"
"test","impossible","scenario3","speeded","57","turn the cash register invisible","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",219015,"99",1560,0,1,41,"female",5,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1366,768,"Windows","en-US",0.87,NA,"JuiIasRy2YTrLJlo"
"test","irrational","scenario3","speeded","69","close the store five hours early","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",219901,"j",279,1,1,41,"female",5,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1366,768,"Windows","en-US",0.87,NA,"JuiIasRy2YTrLJlo"
"test","possible","scenario3","speeded","56","write a check for $50.75","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",222067,"99",1558,0,1,41,"female",5,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1366,768,"Windows","en-US",0.87,NA,"JuiIasRy2YTrLJlo"
"test","possible","scenario3","speeded","51","get a payday advance loan","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",224231,"99",1557,0,1,41,"female",5,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1366,768,"Windows","en-US",0.87,NA,"JuiIasRy2YTrLJlo"
"test","possible","scenario3","speeded","55","borrow money from a friend","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",226401,"99",1557,0,1,41,"female",5,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1366,768,"Windows","en-US",0.87,NA,"JuiIasRy2YTrLJlo"
"test","possible","scenario3","speeded","49","explain the situation to his boss","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",228566,"99",1559,0,1,41,"female",5,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1366,768,"Windows","en-US",0.87,NA,"JuiIasRy2YTrLJlo"
"test","irrational","scenario3","speeded","71","try to invent new pastries","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",230730,"99",1556,0,1,41,"female",5,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1366,768,"Windows","en-US",0.87,NA,"JuiIasRy2YTrLJlo"
"test","irrational","scenario3","speeded","72","discount food to encourage tipping","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",232899,"99",1562,0,1,41,"female",5,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1366,768,"Windows","en-US",0.87,NA,"JuiIasRy2YTrLJlo"
"test","possible","scenario3","speeded","54","add in money from his daily tips","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",234700,"j",1193,1,1,41,"female",5,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1366,768,"Windows","en-US",0.87,NA,"JuiIasRy2YTrLJlo"
"test","impossible","scenario3","speeded","58","use some monopoly money instead","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",236864,"99",1556,0,1,41,"female",5,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1366,768,"Windows","en-US",0.87,NA,"JuiIasRy2YTrLJlo"
"test","irrational","scenario3","speeded","70","pay with his retirement fund","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",238777,"j",1302,1,1,41,"female",5,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1366,768,"Windows","en-US",0.87,NA,"JuiIasRy2YTrLJlo"
"test","possible","scenario3","speeded","50","ask other employees what to do","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",240948,"99",1557,0,1,41,"female",5,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1366,768,"Windows","en-US",0.87,NA,"JuiIasRy2YTrLJlo"
"test","possible","scenario3","speeded","52","sell something he owns for money","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",243109,"99",1556,0,1,41,"female",5,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1366,768,"Windows","en-US",0.87,NA,"JuiIasRy2YTrLJlo"
"test","impossible","scenario3","speeded","59","take pictures of missing bills","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",3,"f j",1,"1550",244932,"f",1211,1,1,41,"female",5,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",52,1366,768,"Windows","en-US",0.87,NA,"JuiIasRy2YTrLJlo"
