"type","condition1","condition2","condition3","trialNo","target","stim1","stim2","stim3","key","ITI","presTime","ISI","presTimeS2","stimFormat","title","content","trialText","button1","feedbackIncorrect","feedbackTime","random","randomBlock","keyboard","subjectGroup","responseWindow","timestamp","responses","RTs","correct","turkID","age","sex","education","handedness","sexOrientation","ethnicity","other1","other2","other3","other4","other5","browser","version","screenWidth","screenHeight","OS","OS_lang","calibration","ip","code"
"test","na","na","na","na","Is it possible for Josh to. . . .","na","na","na","na",600,"na","na","na","word","na","na","na","na","na","1500","na",2,"na",3,"1550",215113,"99",1557,0,1,31,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1920,1080,"MacOS","en-US",0.8,NA,"fil4e2ywjpejvRg7"
"test","immoral","scenario2","speeded","39","take another driver hostage","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",2,"f j",3,"1550",217272,"99",1553,0,1,31,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1920,1080,"MacOS","en-US",0.8,NA,"fil4e2ywjpejvRg7"
"test","impossible","scenario2","speeded","35","teleport himself to the airport","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",2,"f j",3,"1550",219284,"f",1410,1,1,31,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1920,1080,"MacOS","en-US",0.8,NA,"fil4e2ywjpejvRg7"
"test","possible","scenario2","speeded","31","call a friend for a ride","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",2,"f j",3,"1550",220983,"f",1093,0,1,31,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1920,1080,"MacOS","en-US",0.8,NA,"fil4e2ywjpejvRg7"
"test","possible","scenario2","speeded","30","hail a taxi at the intersection","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",2,"f j",3,"1550",223141,"99",1552,0,1,31,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1920,1080,"MacOS","en-US",0.8,NA,"fil4e2ywjpejvRg7"
"test","possible","scenario2","speeded","27","take the public bus there","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",2,"f j",3,"1550",225044,"f",1297,0,1,31,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1920,1080,"MacOS","en-US",0.8,NA,"fil4e2ywjpejvRg7"
"test","impossible","scenario2","speeded","36","levitate and fly to the airport","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",2,"f j",3,"1550",226484,"j",837,0,1,31,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1920,1080,"MacOS","en-US",0.8,NA,"fil4e2ywjpejvRg7"
"test","possible","scenario2","speeded","26","ask the gas station clerk for help","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",2,"f j",3,"1550",228341,"f",1251,0,1,31,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1920,1080,"MacOS","en-US",0.8,NA,"fil4e2ywjpejvRg7"
"test","impossible","scenario2","speeded","34","ride a cat to the airport","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",2,"f j",3,"1550",230073,"j",1126,0,1,31,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1920,1080,"MacOS","en-US",0.8,NA,"fil4e2ywjpejvRg7"
"test","impossible","scenario2","speeded","33","get a new car by thinking","na","na","na","f",600,"1500","na","na","word","na","na","na","na","na","na","1",2,"f j",3,"1550",231817,"f",1138,1,1,31,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1920,1080,"MacOS","en-US",0.8,NA,"fil4e2ywjpejvRg7"
"test","possible","scenario2","speeded","29","ask a relative to pick him up","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",2,"f j",3,"1550",233979,"99",1556,0,1,31,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1920,1080,"MacOS","en-US",0.8,NA,"fil4e2ywjpejvRg7"
"test","immoral","scenario2","speeded","38","take a taxi without paying","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",2,"f j",3,"1550",235979,"j",1397,1,1,31,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1920,1080,"MacOS","en-US",0.8,NA,"fil4e2ywjpejvRg7"
"test","possible","scenario2","speeded","28","request aiport shuttle pickup","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",2,"f j",3,"1550",237914,"f",1333,0,1,31,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1920,1080,"MacOS","en-US",0.8,NA,"fil4e2ywjpejvRg7"
"test","possible","scenario2","speeded","25","reschedule for a later flight","na","na","na","j",600,"1500","na","na","word","na","na","na","na","na","na","1",2,"f j",3,"1550",239681,"f",1161,0,1,31,"female",2,"right-handed",NA,NA,NA,NA,NA,NA,NA,"Chrome",51,1920,1080,"MacOS","en-US",0.8,NA,"fil4e2ywjpejvRg7"
