ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Instr,scenario1,item001,item002,item003,item004,item005,item006,item007,item008,item013,item014,item015,item016,item017,item018,item019,item020,item021,item022,item023,item024,force1,time1_1,time1_2,time1_3,time1_4,scenario2,item025,item026,item027,item028,item029,item030,item031,item032,item037,item038,item039,item040,item041,item042,item043,item044,item045,item046,item047,item048,force2,time2_1,time2_2,time2_3,time2_4,scenario3,item049,item050,item051,item052,item053,item054,item055,item056,item061,item062,item063,item064,item065,item066,item067,item068,item069,item070,item071,item072,force3,time3_1,time3_2,time3_3,time3_4,scenario4,item073,item074,item075,item076,item077,item078,item079,item080,item085,item086,item087,item088,item089,item090,item091,item092,item093,item094,item095,item096,force4,time4_1,time4_2,time4_3,time4_4,scenario5,item097,item098,item099,item100,item101,item102,item103,item104,item109,item110,item111,item112,item113,item114,item115,item116,item117,item118,item119,item120,force5,time5_1,time5_2,time5_3,time5_4,scenario6,item121,item122,item123,item124,item125,item126,item127,item128,item133,item134,item135,item136,item137,item138,item139,item140,item141,item142,item143,item144,force6,time6_1,time6_2,time6_3,time6_4,demo,age,gender,ethnicity,ethnicity_TEXT,education,ses,DO-BR-FL_11,DO-BL-Scenario1,DO-BL-Scenario2,DO-BL-Scenario3,DO-BL-Scenario4,DO-BL-Scenario5,DO-BL-Scenario6,LocationLatitude,LocationLongitude,LocationAccuracy
R_xozfure1ixiIOwF,Default Response Set,Anonymous,,,98.222.164.212,0,7/23/2016 14:29,7/23/2016 14:30,1,1,1,1,,,,,,,,,,,,,,,,,,1,,,4,2.555,2.555,9.487,1,1,,,,,1,,,,,,,,,,,,,,,,4,1.323,1.323,2.207,1,1,,,1,,,,,,,,,,,,,,,,,,3,0.957,0.957,1.946,1,1,,,,,,,,,1,,,,,,,,,,,,3,0.938,1.939,2.989,2,1,,,,,1,,,,,,,,,,,,,,,,2,2.179,2.179,3.128,1,1,,,,,,,,1,,,,,,,,,,,,,4,1.877,3.661,4.752,2,,32,1,5,,5,6,Scenario 6|Scenario 3|Scenario 1|Scenario 5|Scenario 4|Scenario 2,scenario1|item022|force1|time1,scenario2|item029|force2|time2,scenario3|item051|force3|time3,scenario4|item085|force4|time4,scenario5|item101|force5|time5,scenario6|item128|force6|time6,41.4631958,-87.69300079,-1
R_1F8uLZJw8FM0HPr,Default Response Set,Anonymous,,,96.251.123.166,0,7/23/2016 14:30,7/23/2016 14:31,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,4,0.729,1.054,1.865,2,1,,,,,,,,,,,,1,,,,,,,,,4,0.677,1.107,2.004,2,1,,,,,,,,,,,,,,1,,,,,,,4,0.451,1.04,1.486,2,1,,,,,,,,,,,,,1,,,,,,,,4,12.361,12.775,13.395,2,1,,,,,,,,,,,,,,,,,,1,,,4,0.899,0.899,1.693,1,1,,,,,,,,,,,,,,,,,,,1,,2,0.968,0.968,1.59,1,,25,2,5,,4,5,Scenario 1|Scenario 2|Scenario 4|Scenario 6|Scenario 5|Scenario 3,scenario1|item013|force1|time1,scenario2|item040|force2|time2,scenario3|item066|force3|time3,scenario4|item089|force4|time4,scenario5|item118|force5|time5,scenario6|item143|force6|time6,34.06140137,-117.1734009,-1
R_2cucBPhe7KOmi2v,Default Response Set,Anonymous,,,172.90.141.156,0,7/23/2016 14:29,7/23/2016 14:31,1,1,1,1,,,,,,,,,,,,,,,,1,,,,,4,12.864,12.902,13.425,2,1,,,,,,,,,,,,,,,1,,,,,,1,0.87,14.254,14.854,3,1,,,,,,,,,,,,,,,,,,,1,,2,10.441,11.347,12.236,2,1,,,,,,,,,,,1,,,,,,,,,,3,11.334,12.403,12.901,3,1,,,,,,,,,,,,,,1,,,,,,,2,17.867,17.867,18.614,1,1,,,,,,,,,,,1,,,,,,,,,,2,9.104,9.104,9.749,1,,23,1,2,,5,6,Scenario 5|Scenario 6|Scenario 1|Scenario 4|Scenario 2|Scenario 3,scenario1|item020|force1|time1,scenario2|item043|force2|time2,scenario3|item071|force3|time3,scenario4|item087|force4|time4,scenario5|item114|force5|time5,scenario6|item135|force6|time6,34.0144043,-117.2771988,-1
R_DvfpmLBVAJB2ggh,Default Response Set,Anonymous,,,128.95.213.82,0,7/23/2016 14:29,7/23/2016 14:32,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,3,25.409,26.031,26.808,2,1,,,,1,,,,,,,,,,,,,,,,,2,10.118,13.111,13.941,2,1,,,,,1,,,,,,,,,,,,,,,,2,1.449,16.88,18.807,2,1,,,,,,,,,,,,,,1,,,,,,,2,16.561,16.561,17.226,1,1,,,,,,,,,,,,,,,1,,,,,,2,15.664,20.349,21.08,3,1,,,,,,,,,,,,1,,,,,,,,,4,16.825,16.825,18.125,1,,32,2,5,,5,7,Scenario 1|Scenario 3|Scenario 5|Scenario 4|Scenario 2|Scenario 6,scenario1|item017|force1|time1,scenario2|item028|force2|time2,scenario3|item053|force3|time3,scenario4|item090|force4|time4,scenario5|item115|force5|time5,scenario6|item136|force6|time6,47.43229675,-121.8033981,-1
R_2VyBXkn2ruKLkSR,Default Response Set,Anonymous,,,96.18.33.129,0,7/23/2016 14:29,7/23/2016 14:32,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,2,19.999,22.566,23.352,4,1,,,,,,,,,,,,,,,,,,,1,,2,19.131,19.832,20.617,2,1,,,,,,,,,,,,,1,,,,,,,,4,16.66,17.487,18.75,2,1,,,,,,,,,,,,,,,1,,,,,,2,20.793,22,22.841,3,1,,,,,,,,,,,,,,,,,1,,,,5,20.277,22.468,23.196,3,1,,,,,,,,,,,1,,,,,,,,,,5,21.917,24.987,25.854,2,,36,2,5,,5,8,Scenario 1|Scenario 6|Scenario 3|Scenario 4|Scenario 5|Scenario 2,scenario1|item001|force1|time1,scenario2|item047|force2|time2,scenario3|item065|force3|time3,scenario4|item091|force4|time4,scenario5|item117|force5|time5,scenario6|item135|force6|time6,31.56919861,-91.3289032,-1
R_x00w76qKqF9JfY5,Default Response Set,Anonymous,,,68.102.147.222,0,7/23/2016 14:29,7/23/2016 14:32,1,1,1,1,,,,,,,,,,,,,,,,,,,1,,4,9.235,9.235,10.152,1,1,,,,,,,,,1,,,,,,,,,,,,3,3.064,3.435,4.176,2,1,,,,1,,,,,,,,,,,,,,,,,2,22.535,22.535,23.541,1,1,,,,,,,,,,1,,,,,,,,,,,4,18.288,21.291,22.102,4,1,,,,,,,,,,,,1,,,,,,,,,2,35.887,35.887,38.044,1,1,,,,,,,,,,,,,,,,,,,,1,2,28.82,28.82,29.768,1,,46,2,5,,6,5,Scenario 6|Scenario 5|Scenario 3|Scenario 4|Scenario 1|Scenario 2,scenario1|item023|force1|time1,scenario2|item037|force2|time2,scenario3|item052|force3|time3,scenario4|item086|force4|time4,scenario5|item112|force5|time5,scenario6|item144|force6|time6,37.56289673,-97.22850037,-1
R_1opWy7g7JLGsPFH,Default Response Set,Anonymous,,,76.176.197.9,0,7/23/2016 14:29,7/23/2016 14:32,1,1,1,1,,,,,,,,,,,,,,1,,,,,,,1,16.488,17.056,17.354,2,1,,,,,,,,,,,,,,1,,,,,,,1,18.369,18.608,19.401,2,1,,,,,,,,,,,1,,,,,,,,,,1,19.487,20.055,24.578,2,1,,,,,,,,,,,,1,,,,,,,,,1,14.716,15.035,15.893,2,1,,,,,,,,,,,,,1,,,,,,,,1,32.85,34.242,35.174,3,1,,,,,1,,,,,,,,,,,,,,,,1,15.722,15.722,16.388,1,,39,1,5,,5,5,Scenario 3|Scenario 4|Scenario 2|Scenario 5|Scenario 6|Scenario 1,scenario1|item018|force1|time1,scenario2|item042|force2|time2,scenario3|item063|force3|time3,scenario4|item088|force4|time4,scenario5|item113|force5|time5,scenario6|item125|force6|time6,33.13569641,-117.3018951,-1
R_3kHgENSI9ssl087,Default Response Set,Anonymous,,,73.228.49.92,0,7/23/2016 14:30,7/23/2016 14:32,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,2,2.391,15.938,18.697,7,1,,,1,,,,,,,,,,,,,,,,,,1,1.319,27.907,30.385,6,1,,,,,,,,,,,,,,,,,,,,1,4,2.898,22.493,23.366,9,1,,,,,,,,1,,,,,,,,,,,,,1,0.821,11.545,12.542,5,1,,,,,,,,,,,,,,,,,,,,1,5,1.946,20.297,20.992,5,1,,,,,,,,,,,,1,,,,,,,,,5,2.531,18.638,20.39,3,,22,2,5,,4,7,Scenario 2|Scenario 3|Scenario 4|Scenario 6|Scenario 5|Scenario 1,scenario1|item005|force1|time1,scenario2|item027|force2|time2,scenario3|item072|force3|time3,scenario4|item080|force4|time4,scenario5|item120|force5|time5,scenario6|item136|force6|time6,35.06390381,-106.4787979,-1
R_22ujRCKjlIlxJ5b,Default Response Set,Anonymous,,,24.20.182.233,0,7/23/2016 14:30,7/23/2016 14:32,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,4,20.581,20.581,21.259,1,1,,,,,,1,,,,,,,,,,,,,,,2,8.085,8.085,9.137,1,1,,,,,,,,,,,,,,,,1,,,,,2,24.415,24.415,25.315,1,1,,,,,,,,,,,,,,,,,,1,,,3,16.328,16.328,17.235,1,1,,,,,,,,,,,,,1,,,,,,,,3,17.891,19.723,20.139,3,1,,,,,,,,,,,,,,1,,,,,,,1,30.537,30.537,31.478,1,,26,2,5,,5,4,Scenario 6|Scenario 4|Scenario 5|Scenario 1|Scenario 3|Scenario 2,scenario1|item014|force1|time1,scenario2|item030|force2|time2,scenario3|item068|force3|time3,scenario4|item094|force4|time4,scenario5|item113|force5|time5,scenario6|item138|force6|time6,45.58479309,-122.9116974,-1
R_21HQDzfhJ3EViZl,Default Response Set,Anonymous,,,108.16.193.192,0,7/23/2016 14:29,7/23/2016 14:32,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,4,8.2,27.161,28.962,7,1,1,,,,,,,,,,,,,,,,,,,,3,21.626,24.623,25.682,3,1,,,,,,,,,,,,,1,,,,,,,,2,17.299,20.391,21.732,5,1,,,,,,,,,,,,,,,,,1,,,,2,13.695,25.607,26.937,5,1,,1,,,,,,,,,,,,,,,,,,,3,10.726,22.722,25.035,2,1,,,,,,,,,1,,,,,,,,,,,,2,19.706,24.73,25.51,6,,24,1,5,,5,5,Scenario 1|Scenario 2|Scenario 4|Scenario 3|Scenario 5|Scenario 6,scenario1|item024|force1|time1,scenario2|item025|force2|time2,scenario3|item065|force3|time3,scenario4|item093|force4|time4,scenario5|item098|force5|time5,scenario6|item133|force6|time6,39.97590637,-75.36460114,-1
