ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,Consent,Instr,scenario1,item001,item002,item003,item004,item005,item006,item007,item008,item013,item014,item015,item016,item017,item018,item019,item020,item021,item022,item023,item024,time1_1,time1_2,time1_3,time1_4,scenario2,item025,item026,item027,item028,item029,item030,item031,item032,item037,item038,item039,item040,item041,item042,item043,item044,item045,item046,item047,item048,time2_1,time2_2,time2_3,time2_4,scenario3,item049,item050,item051,item052,item053,item054,item055,item056,item061,item062,item063,item064,item065,item066,item067,item068,item069,item070,item071,item072,time3_1,time3_2,time3_3,time3_4,scenario4,item073,item074,item075,item076,item077,item078,item079,item080,item085,item086,item087,item088,item089,item090,item091,item092,item093,item094,item095,item096,time4_1,time4_2,time4_3,time4_4,scenario5,item097,item098,item099,item100,item101,item102,item103,item104,item109,item110,item111,item112,item113,item114,item115,item116,item117,item118,item119,item120,time5_1,time5_2,time5_3,time5_4,scenario6,item121,item122,item123,item124,item125,item126,item127,item128,item133,item134,item135,item136,item137,item138,item139,item140,item141,item142,item143,item144,time6_1,time6_2,time6_3,time6_4,demo,age,gender,ethnicity,ethnicity_TEXT,education,ses,DO-BR-FL_11,DO-BL-Scenario1,DO-BL-Scenario2,DO-BL-Scenario3,DO-BL-Scenario4,DO-BL-Scenario5,DO-BL-Scenario6,LocationLatitude,LocationLongitude,LocationAccuracy
R_2SwVkYDXcdmDyiO,Default Response Set,Anonymous,,,164.119.71.225,0,1/13/2017 10:11,1/13/2017 10:13,1,1,1,1,,,,,,,,,,,,,,,,,16,,,,49.368,49.368,50.128,1,1,,,,,,,,,,,,,,,,,,,,18,2.981,2.981,3.576,1,1,,,,,,,,,,18,,,,,,,,,,,2.206,2.206,2.91,1,1,,,,17,,,,,,,,,,,,,,,,,1.543,1.543,2.374,1,1,,,16,,,,,,,,,,,,,,,,,,1.681,1.681,2.436,1,1,,,,,,16,,,,,,,,,,,,,,,1.538,2.402,2.947,3,,27,1,5,,6,4,Scenario 3|Scenario 5|Scenario 2|Scenario 6|Scenario 4|Scenario 1,scenario1|item021|time1,scenario2|item048|time2,scenario3|item062|time3,scenario4|item076|time4,scenario5|item099|time5,scenario6|item126|time6,40.81759644,-96.71140289,-1
R_vD2wmGk4a2hztjb,Default Response Set,Anonymous,,,144.162.138.112,0,1/13/2017 10:11,1/13/2017 10:13,1,1,1,1,,,16,,,,,,,,,,,,,,,,,,2.029,2.292,2.927,2,1,,,,,,,,,,15,,,,,,,,,,,17.072,17.874,18.677,3,1,,16,,,,,,,,,,,,,,,,,,,19.796,20.468,21.487,2,1,,,15,,,,,,,,,,,,,,,,,,1.009,1.009,2.076,1,1,,16,,,,,,,,,,,,,,,,,,,1.051,1.051,1.749,1,1,,17,,,,,,,,,,,,,,,,,,,4.398,6.198,6.995,3,,50,2,5,,8,2,Scenario 2|Scenario 1|Scenario 6|Scenario 5|Scenario 4|Scenario 3,scenario1|item003|time1,scenario2|item038|time2,scenario3|item050|time3,scenario4|item075|time4,scenario5|item098|time5,scenario6|item122|time6,32.81950378,-96.63379669,-1
R_3hxNwJ4Rk8pqF9R,Default Response Set,Anonymous,,,71.59.138.246,0,1/13/2017 10:11,1/13/2017 10:13,1,1,1,1,,,,,,,,,,,,,,,,15,,,,,6.865,18.787,19.587,3,1,,,,,,,,,,,15,,,,,,,,,,12.788,12.788,13.615,1,1,,,,,,15,,,,,,,,,,,,,,,8.17,8.17,8.95,1,1,,,,,,,,,,,,,17,,,,,,,,11.991,11.991,12.597,1,1,,,,,,,,,15,,,,,,,,,,,,14.29,14.29,14.915,1,1,,,,,,,,,,,15,,,,,,,,,,10.671,10.956,11.709,2,,35,1,5,,5,7,Scenario 1|Scenario 4|Scenario 2|Scenario 5|Scenario 3|Scenario 6,scenario1|item020|time1,scenario2|item039|time2,scenario3|item054|time3,scenario4|item089|time4,scenario5|item109|time5,scenario6|item135|time6,45.52220154,-122.8592987,-1
R_qJD4qn8671Uo87v,Default Response Set,Anonymous,,,108.84.108.186,0,1/13/2017 10:11,1/13/2017 10:13,1,1,1,1,,,,,,16,,,,,,,,,,,,,,,14.836,14.836,15.815,1,1,,,,,,,,,,,,16,,,,,,,,,15.536,15.536,16.932,1,1,,,,,,,16,,,,,,,,,,,,,,12.803,12.803,13.846,1,1,,,,,,,,,,,,,,,,,15,,,,18.905,18.905,20.125,1,1,,,,,,,,,,,,,,,,,15,,,,13.272,13.272,14.955,1,1,,,,,,,,,,,,,18,,,,,,,,16.052,16.588,18.025,2,,38,1,5,,5,5,Scenario 2|Scenario 4|Scenario 3|Scenario 6|Scenario 5|Scenario 1,scenario1|item006|time1,scenario2|item040|time2,scenario3|item055|time3,scenario4|item093|time4,scenario5|item117|time5,scenario6|item137|time6,33.1065979,-84.46070099,-1
R_20YvFyo3UQfPzhA,Default Response Set,Anonymous,,,66.250.143.158,0,1/13/2017 10:11,1/13/2017 10:14,1,1,1,1,,22,,,,,,,,,,,,,,,,,,,8.32,21.438,23.528,2,1,,,,,,,15,,,,,,,,,,,,,,9.839,9.839,11.126,1,1,,,,,,,,15,,,,,,,,,,,,,11.638,11.638,13.511,1,1,,,,,,,,,,,,,,,15,,,,,,12.513,12.513,16.89,1,1,,,,,,,,,,,,,,,,,15,,,,10.203,10.203,11.466,1,1,,,,,,,15,,,,,,,,,,,,,,15.943,30.421,34.656,2,,54,2,5,,5,9,Scenario 6|Scenario 1|Scenario 2|Scenario 4|Scenario 3|Scenario 5,scenario1|item002|time1,scenario2|item031|time2,scenario3|item056|time3,scenario4|item091|time4,scenario5|item117|time5,scenario6|item127|time6,39.95970154,-75.19680023,-1
R_3PbOdlxnA1ZXNXH,Default Response Set,Anonymous,,,24.118.182.129,0,1/13/2017 10:11,1/13/2017 10:14,1,1,1,1,,,,,,,,,,,,,,,,,,15,,,14.76,14.76,18.35,1,1,,,16,,,,,,,,,,,,,,,,,,17.138,17.138,18.247,1,1,,,15,,,,,,,,,,,,,,,,,,12.04,12.04,13.231,1,1,,,,,,,,,,,,,,,,,,15,,,13.221,13.221,14.373,1,1,,,16,,,,,,,,,,,,,,,,,,12.814,12.814,13.941,1,1,,,,,,,,,,,,,,,,16,,,,,38.95,38.95,43.844,1,,35,2,3,,5,6,Scenario 6|Scenario 2|Scenario 1|Scenario 4|Scenario 5|Scenario 3,scenario1|item022|time1,scenario2|item027|time2,scenario3|item051|time3,scenario4|item094|time4,scenario5|item099|time5,scenario6|item140|time6,44.83999634,-93.03649902,-1
R_yyTA0oncIIK0RgZ,Default Response Set,Anonymous,,,98.213.21.48,0,1/13/2017 10:11,1/13/2017 10:14,1,1,1,1,,,,,,,,,,,,,,,,17,,,,,20.663,22.695,23.227,3,1,,,,,,,,,,,,,16,,,,,,,,11.908,11.908,13.027,1,1,,,,,,,,16,,,,,,,,,,,,,8.785,8.785,9.783,1,1,,,,,,,,,,,,,17,,,,,,,,16.49,17.478,18.362,2,1,,,,,,,,,,,16,,,,,,,,,,7.616,31.872,32.695,2,1,,,,,,,,,15,,,,,,,,,,,,19.331,21.143,22.631,2,,28,1,5,,2,7,Scenario 5|Scenario 6|Scenario 1|Scenario 3|Scenario 4|Scenario 2,scenario1|item020|time1,scenario2|item041|time2,scenario3|item056|time3,scenario4|item089|time4,scenario5|item111|time5,scenario6|item133|time6,41.38319397,-89.14610291,-1
R_2rMzUEZA4ImHIFO,Default Response Set,Anonymous,,,66.188.55.188,0,1/13/2017 10:11,1/13/2017 10:14,1,1,1,1,,,15,,,,,,,,,,,,,,,,,,2.862,21.353,22.768,5,1,,,,,,,,,,,,,,,,,,15,,,3.021,20.563,21.994,14,1,,,,,,,,,,,15,,,,,,,,,,2.338,28.876,29.812,18,1,18,,,,,,,,,,,,,,,,,,,,10.954,21.942,27.502,3,1,,,,,,,,,,,,,,,19,,,,,,2.118,25.902,26.566,8,1,,,,,16,,,,,,,,,,,,,,,,6.379,24.596,25.618,3,,31,1,5,,4,7,Scenario 6|Scenario 2|Scenario 1|Scenario 3|Scenario 4|Scenario 5,scenario1|item003|time1,scenario2|item046|time2,scenario3|item063|time3,scenario4|item073|time4,scenario5|item115|time5,scenario6|item125|time6,42.45809937,-83.94680023,-1
R_zZ1srbrmWq9trNv,Default Response Set,Anonymous,,,67.190.251.95,0,1/13/2017 10:12,1/13/2017 10:14,1,1,1,1,15,,,,,,,,,,,,,,,,,,,,20.924,22.971,26.298,2,1,,,,15,,,,,,,,,,,,,,,,,18.013,19.402,20.307,2,1,,15,,,,,,,,,,,,,,,,,,,11.217,11.217,12.259,1,1,,,,,,,,,,,,,,,,,15,,,,1.701,1.701,23.337,1,1,,,,,,,,,,,,,,,16,,,,,,6.751,17.136,18.055,2,1,,,,,,,,,,,,,,,,,,,15,,1.511,1.511,9.957,1,,52,2,5,,4,9,Scenario 1|Scenario 2|Scenario 6|Scenario 4|Scenario 3|Scenario 5,scenario1|item001|time1,scenario2|item028|time2,scenario3|item050|time3,scenario4|item093|time4,scenario5|item115|time5,scenario6|item143|time6,30.22749329,-81.38009644,-1
R_3Phl6mRe5iOKPVu,Default Response Set,Anonymous,,,12.23.232.193,0,1/13/2017 10:11,1/13/2017 10:14,1,1,1,1,,,,,,,,,,,,15,,,,,,,,,19.043,29.77,31.584,4,1,,18,,,,,,,,,,,,,,,,,,,15.02,21.715,22.836,4,1,,,,,19,,,,,,,,,,,,,,,,27.119,27.927,29.162,2,1,,16,,,,,,,,,,,,,,,,,,,4.697,18.369,22.039,4,1,,,,,,,,,,,,,,,,18,,,,,4.403,27.538,28.628,5,1,,,,,,,,,,,,,,,,,,,,15,13.747,19.795,20.798,4,,27,2,5,,5,7,Scenario 1|Scenario 4|Scenario 5|Scenario 2|Scenario 6|Scenario 3,scenario1|item016|time1,scenario2|item026|time2,scenario3|item053|time3,scenario4|item074|time4,scenario5|item116|time5,scenario6|item144|time6,32.33889771,-99.66069794,-1
