"","id","context","text","group"
"1",1,1,"look for coupon",0
"2",2,1,"I ask my friends for help with this medication.",1
"3",3,1,"Get a side hustle to make some more money.",6
"4",4,1,"buy it for them",11
"5",5,1,"Ask friends and family for help while working more or looking for a better paying job.",1
"6",6,1,"I would borrow money or not pay other bills so I could get the medicine.",11
"7",7,1,"Sell any items of value that I have to pay for it.",7
"8",8,1,"find ways to make money quick or sell assets",7
"9",9,1,"I would take out a loan to pay for the medicine while cursing republicans for blocking universal healthcare.",4
"10",10,1,"I would look for help anywhere I could. Assistance from friends and family or even a loan. Anything. ",1
"11",11,1,"Ask a family member for help.",1
"12",12,1,"start working another job",6
"13",13,1,"Get a second job",6
"14",14,1,"try to get extra money or take out a loan for the medicine",4
"15",15,1,"Explore payment plan options",0
"16",16,1,"I would ask my friends, parents, and my spouse's family for a loan and pay them back asap.",1
"17",17,1,"borrow money from family",1
"18",18,1,"reach out of family for money",1
"19",19,1,"Set up a GoFundMe page and ask friends and family if they can help out financially.",2
"20",20,1,"I would sell expensive belongings. ",7
"21",21,1,"I need help for someone",-99
"22",22,1,"Call the pharmacy, see if I can a partial script of the medication or if there was a generic version. I would try using an app like GoodRX to see where the cheapest pharmacy would be. Possibly call the Dr to see if there are samples available. Or call the manufacturer of the medication, sometimes they have programs where people can medication for a very very cheap price or free. If all that fails I would ask someone if I could borrow the money, then start figuring out what I can sell or cut end to save the money to pay them back.  ",0
"23",23,1,"Get on mturk, go trade some crypto, borrow money, pawn stuff. any or all of those",0
"24",24,1,"sell some stuff to get the money",7
"25",25,1,"I would get the medication on credit.",0
"26",26,1,"Check the web for any ideas.",0
"27",27,1,"I would see what loans I can get.",4
"28",28,1,"try to raise money",2
"29",29,1,"sell something of value to buy it",7
"30",30,1,"By hook or by crook, I will come up with the money to make sure my spouse is alright.",0
"31",31,1,"Take out a loan",4
"32",32,1,"try to work for the money",6
"33",33,1,"Ask someone for help",1
"34",34,1,"borrow money",4
"35",35,1,"Sell whatever I can to make money.",7
"36",36,1,"Borrow the money.",4
"37",37,1,"id steal it",8
"38",38,1,"Ask around to see if any family members would be able to help",1
"39",39,1,"find extra income, start a gofundme in the mean time.",6
"40",40,1,"I would ask for money from someone.",1
"41",41,1,"I would go on gofundme.com and ask for assitance",2
"42",42,1,"apply for grants and get a second job.",0
"43",43,1,"borrow to get the medicine",4
"44",44,1,"Borrow money from a friend/family",1
"45",45,1,"Try to find every way possible to get a discount on this medication using a site like GoodRX, etc. Otherwise I'll have to borrow the money from somebody and pay them back.",12
"46",46,1,"borrow money",4
"47",47,1,"Reach out to relatives for help",1
"48",48,1,"Sell feet pictures.",0
"49",49,1,"try to borrow the money",4
"50",50,1,"I would look for alternative generic versions and/or contact the expensive medication company to see if there is any help for those can't afford it, which is more common these days",12
"51",51,1,"Charge it to credit card",11
"52",52,1,"I would start a go fund account.",2
"53",53,1,"I would either use my credit card or take out a personal loan from a friend or family member to buy it.",16
"54",54,1,"Get a second job",6
"55",55,1,"Try to find some work to do so I can pay for it.",6
"56",56,1,"Call my family and friends for help",1
"57",57,1,"I would contact friends and family to find the needed funds. ",1
"58",58,1,"I would find a way to increase my income, however i could. I would sell anything i had of value and look for side work. ",6
"59",59,1,"I would ask the bank for a loan.",4
"60",60,1,"I would first reach out to family and friends to see if they can help with the situation. ",1
"61",61,1,"I would ask someone close to me for a loan, then find an extra job or apply for a loan to pay them back.",1
"62",62,1,"Ask family for financial help.",1
"63",63,1,"I will steal the medication if I have to",8
"64",64,1,"The expensive prescription on the recover.",-99
"65",65,1,"I would exhaust as many avenues as possible to pay the prescription such as loans",4
"66",66,1,"I would go into as much debt as possible and declare bankruptcy",0
"67",67,1,"Take out a loan",4
"68",68,1,"I would contact family and churches to see if they can help us. ",1
"69",69,1,"I would poll from family first for options, but would take a loan or reverse mortgage to afford it for them.",1
"70",70,1,"get another job",6
"71",71,1,"Apply for medical/financial state assistance.",3
"72",72,1,"medical insurance",-99
"73",73,1,"try to borrow the money in any way possible (bank, credit cards, family or friends)",4
"74",74,1,"more information to collect and get it",-99
"75",75,1,"I would attempt to switch to an insurance that does cover the medication. If I absolutely could not do that, I would start a fundraiser asking my community for help.",13
"76",76,1,"I make a request on go fund me and take out a loan to afford the medication. ",2
"77",77,1,"I would ask around the group of people I know who dabble in illegal stuff and see if it can be aquired. If not I would have to find out where it is a break in and take it without getting caught.",0
"78",78,1,"Search of coupons ",10
"79",79,1,"I would see if there are things I can sell to come up with some quick cash or take out a loan.",7
"80",80,1,"Let primary care physician know the circumstances.  Ask if there are any programs that will help cover the medicine.  Ask if there is a generic for the drug or another cheaper drug that will have same effect.  ",14
"81",81,1,"I would go ask my mom for the money to help me get her medicine!",1
"82",82,1,"I would sell something we have to try and cover the cost and look for another job to make more money",7
"83",83,1,"Drain my savings or put it on a credit card. It isn't an optional thing, they have to have it, so I will do what is necessary to get it.",11
"84",84,1,"stop and help",-99
"85",85,1,"I would look to any programs that might help.",3
"86",86,1,"I ask my friend or other person",1
"87",87,1,"take out a loan an get the medicine",4
"88",88,1,"Get a second job or take out a loan. Either way I would prioritize her life.",6
"89",89,1,"I asked money from my friends",1
"90",90,1,"I would do whatever I had to do in order to get the money.",0
"91",91,1,"I would go to the ER at my local hospital.",0
"92",92,1,"I would try and steal it from the pharmacy. ",8
"93",93,1,"Take out a credit card",0
"94",94,1,"Take another shift for work in order to make more money ",6
"95",95,1,"I would sell my car",7
"96",96,1,"Ask to borrow the money",1
"97",97,1,"Look into options like rx savings or different insurance",13
"98",98,1,"Lobby your insurance to get it covered. Raise a stink on social media and raise the funds via GoFundMe while shaming the insurance company publicly.",14
"99",99,1,"Contact the manufacturer to see if it can be donated, post a gofundme, go to the local health clinic to see if it is available through them.",0
"100",100,1,"Call the pharmaceutical company, the hospital, charities, etc. until aid is found.",14
"101",1,2,"Call someone to help",4
"102",2,2,"I would call a towtruck to tow my car to the airport, so I can catch my flight. I will worry about my car being broken when I get home.",2
"103",3,2,"Push the car out of the way and start dealing with the issue.",13
"104",4,2,"just continue my way there",0
"105",5,2,"Call a tow truck to take me to airport parking.",2
"106",6,2,"I would call a Lyft and ask my husband to call AAA for the car to have it towed home or to the mechanic's.",1
"107",7,2,"Call an uber or Taxi.",1
"108",8,2,"call a cab",1
"109",9,2,"I would call the police to report my situation and call AAA to move my car.",2
"110",10,2,"Call a tow truck and an uber and have both ready to pick up the car and me. ",2
"111",11,2,"leave the car call a cab.",1
"112",12,2,"call family to see if they can get me to the airport",4
"113",13,2,"Call a tow truck and an Uber. Have the car towed to a trusted mechanic and continue to your trip. ",2
"114",14,2,"Try to get a taxi or uber to pick me up and take me to the airport",1
"115",15,2,"Call a tow truck and a close friend and see if they can come wait with my car while I grab a cab to the airport.",4
"116",16,2,"I would call a friend or my brother that I left my car there, and jump on an Uber to get to the airport.",4
"117",17,2,"call an uber or family member for a ride",1
"118",18,2,"Leave the car and call an uber. while in the uber call a relative and tell them to take care of the car.",1
"119",19,2,"Call an ride service or taxi or check to see if I am near a rapid transit system that would bring me to the airport. ",1
