scenario_id_fr,text,coded1,coded2,coded final
1_26_1,ask for help,1,0,1
1_32_1,Borrow the money for the medication,0,4,4
1_54_1,Contact the medication company to see if they have a plan to help. ,10,14,10
1_56_1,"Check prices in Canada, usually cheaper.",1,12,12
1_82_1,Ask doctor for samples,0,12,0
1_83_1,"Ask the doctor for a lot of ""samples""",0,12,0
1_103_1,steal the medicine,9,8,8
1_6_2,Accept fate and die,0,5,5
1_20_2,create a fake insurance card,0,8,0
1_26_2,see about a discount,0,12,10
1_29_2,get free health care somewhere,0,12,13
1_34_2,Buy it using their credit card.,11,4,11
1_35_2,Look for other insurance alternatives,0,13,13
1_42_2,put on a credit card,11,4,11
1_47_2,Credit card fraud,0,9,9
1_48_2,get a 2nd opinion,0,12,0
1_56_2,"Write to medicine company, they usually have lower prices for those who don't have insurance.",10,12,10
1_67_2,call the pharmaceutical company and ask for financial assistance,10,14,10
1_68_2,Ask for help from a church ,2,3,3
1_77_2,travel to another country to get it cheaper,0,12,12
1_80_2,Commit insurance fraud.,0,9,9
1_82_2,ask pharmacist if the company has discounts,0,10,10
1_83_2,Call an advocacy group to help pay for drugs,3,2,3
1_88_2,Insurance claim,14,13,14
1_89_2,contact her MD,0,12,0
1_90_2,ask a doctor for help,0,12,0
1_91_2,"their plans include coverage for over 3,000 drugs so you",0,14,0
1_94_2,Start selling drugs to get the money needed,0,8,0
1_98_2,He could request for an advance at work,0,6,0
1_99_2,Go to a local church for donations,2,3,3
1_102_2,Try to get a loan from a friend or family member.,1,4,1
1_1_3,Take out a loan.,4,4,4
1_11_3,Ask the hospital to finance it,0,10,10
1_13_3,Contact his congresspeople for help.,0,3,3
1_16_3,Talk to the medical person and find out if there is another way to get the medication,0,12,0
1_17_3,contact a local spiritual assembly to start a donation fund,2,3,3
1_22_3,withdraw from his 401 K,11,14,11
1_23_3,Ask friends and strangers for help.,2,1,1
1_26_3,go somewhere else,0,12,0
1_28_3,Reach out to the local community,2,3,2
1_35_3,Come up with a payment plan to purchase the medication,0,4,4
1_48_3,try holistic methods,0,12,12
1_55_3,Heinz could threaten the pharmaceutical company,0,10,0
1_56_3,Write to insurance company to reconsider this med because she has to have it.,14,10,14
1_60_3,work extra hours,0,6,6
1_62_3,Go into debt,11,4,11
1_83_3,Ask pharmacist for generic drug/coupon/rebate,12,10,10
1_91_3,need at an affordable rate. Use Cigna's online tool to find,0,14,0
1_98_3,he could wait till he has saved up enough,0,5,5
1_9_4,Put it on a credit card and then work extra hours to pay it off,0,6,6
1_14_4,look for prescription coupons or discount services,0,10,10
1_27_4,put it on a credit card,11,4,11
1_28_4,Start a go fund me,2,11,2
1_33_4,Get new insurance that covers the medication.,3,13,13
1_37_4,Hire a mercenary to get it,0,8,8
1_40_4,grants,0,3,3
1_43_4,Take the medication every other day to extend it.,0,12,0
1_45_4,let her get sicker,5,11,5
1_50_4,Talk to churches and see if they could give money and help out,2,3,3
1_61_4,He asks for help with friends,2,1,1
1_62_4,Ignore it,5,0,5
1_63_4,pay for the medicine with credit,11,4,11
1_64_4,nothing,5,0,5
1_70_4,ask their church community for help if they are religious,2,3,3
1_71_4,Ask someone else for the medicine,1,12,1
1_72_4,"Break into a person's home, steal items and sell them off for money",0,9,9
1_81_4,Ask his church for help.,2,3,3
1_85_4,Make a plea to a local religious organization.,2,3,3
1_86_4,Heinz can beg for money.,2,0,2
1_88_4,Take treatment,0,11,0
1_91_4,Preferred pharmacy: Refers to a smaller number of pharmacies,0,3,0
1_98_4,he could abandon his wife,0,5,5
1_102_4,Talk to her doctor.,0,12,12
1_104_4,Steal medicine,8,8,8
1_4_5,work extra hours for the money,0,6,6
1_5_5,Get a coupon,0,10,10
1_17_5,look for a local support group that deals with his wife's illness and see if they havve any ideas,0,3,0
1_20_5,try to get someone else to give them their medication,0,3,0
1_28_5,Look into medicine in other countries,0,12,12
1_35_5,Purchase the medicine out of country for a cheaper price,0,12,12
1_36_5,Try and find the medication online.,0,12,12
1_45_5,pray,0,5,0
1_46_5,Heinz could seek the help of health awareness activists.,0,3,3
1_53_5,Kidnap the insurance company's CEO's child until they agree to cover his wife's medication.,0,8,8
1_54_5,Cash in CD's or take money out of a retirement fund to help.,7,11,7
1_55_5,Heinz could euthanize his wife,0,5,0
1_56_5,Refinance their house.,0,4,4
1_57_5,virtual for her,0,5,0
1_69_5,Ask a local clinic for help,3,12,3
1_70_5,write a bad check to pay for the medication,0,8,8
1_76_5,Illegally gather funds for the medication,0,9,9
1_81_5,"Look online for prescription savings, such as Good RX.",0,10,10
1_88_5,Buy expensive medicine,11,11,11
1_91_5, lower cost for your medication. ,0,10,0
1_96_5,Heinz could get a job with better insurance coverage,6,13,13
1_98_5,he could go around begging for money,2,1,2
1_102_5,Contact political leadership.,2,3,3
1_103_5,sue the insurance company,0,14,14
1_104_5,Hope for the best,0,5,5
2_6_1,Forget flightfix car,2,5,13
2_13_1,See how long it would take AAA to get there.,8,2,2
2_19_1,Call his auto club.,8,2,8
2_26_1,call for help,14,4,14
2_51_1,Have his car towed and take an uber.,2,1,1
2_58_1,flag someone down,3,11,3
2_70_1,call the airline and see if he can reschedule his flight,7,10,7
2_86_1,He can go to sleep.,0,15,15
2_4_2,Call for a tow truck,2,2,2
2_6_2,Get refund for trip,0,7,0
2_26_2,listen to the radio,0,15,15
2_48_2,use a rideshare app,1,3,1
2_50_2,He could flag another car down so he can call a tow truck,2,11,2
2_64_2,call a tow,2,2,2
