Progress,Duration (in seconds),Finished,S1_1,S2_1,S3_1,S4_1,S5_1,S6_1,S7_1,S8_1,S9_1,S10_1,S11_1,S12_1,S13_1,S14_1,S15_1,S16_1,S17_1,S18_1,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,104,TRUE,89,,74,71,41,,,53,82,,53,,60,62,28,87,68,,,30,Male,Black / African American,,Master's Degree (MS),Rung 6,switch insurance plans,,explain the situation to his boss,pay for a day-pass to the gym,bring in the assignment the next day,,,make cat noises at him until he leaves,pull over and call 911,,slash the tires,,borrow their mom’s wedding ring,move into his father’s apartment,request supplies to be airdropped,leave Todd to save herself,tell his lawyer that he’s sick,
100,114,TRUE,,,0,38,62,36,64,,41,24,0,56,,25,,26,,45,,28,Female,Asian / Pacific Islander,,Some College,Rung 5,,,overcharge the next customers,lie that she left her card inside,bring in the assignment the next day,steal all of the food and water,give her ticket to Ted,,ram into the car,call her a cab,slash the tires,pretend the knife is part of a hip replacement,,buy his father a tent,,yell at Todd for getting stuck,,call for help
100,89,TRUE,,78,,96,,75,82,86,92,100,92,,90,81,88,,96,,,44,Male,Black / African American,,College Graduate (4 year),Rung 8,,try to convince a passing driver to trade cars,,pull the fire alarm,,steal all of the food and water,pretend they are conjoined twins,read his mind,honk at the driver until they pull over,turn invisible,light a fire under the car,,borrow their mom’s wedding ring,move into his father’s apartment,request supplies to be airdropped,,lock up the store,
100,137,TRUE,0,0,0,0,0,0,0,,,,0,,,10,0,,0,0,,24,Male,White / Caucasian,,High School or equivalent,Rung 6,search for the medication on the black market,demand that the airline delays the flight,sell one of his kidneys,borrow someone's phone,copy a friend's assignment,boost morale with a three-legged race,teleport into the concert,,,,ask to use the mall's loudspeaker,,,buy his father a tent,sell all the food to the highest bidder,,leave the store unattended,call for help
100,100,TRUE,5,,,0,12,4,42,61,67,,,41,41,48,,0,,31,,33,Female,Black / African American,,College Graduate (4 year),Rung 10 (Top Rung),search for the medication on the black market,,,crawl past the front desk,hypnotize the teacher,search for a water source,steal someone else's ticket,keep an eye on him,honk an angry message in Morse code,,,take a train instead,blame it on the maid of honor,abandon his father,,give Todd her water,,carry her competitor on her sled
100,151,TRUE,92,92,7,56,0,68,,,,,0,,0,91,0,,100,0,,30,Male,White / Caucasian,,Vocational/Technical School (2 year),Rung 6,start a fundraiser,reschedule for a later flight,sell one of his kidneys,pay for a day-pass to the gym,lie that her house burnt down,huddle to conserve energy,,,,,slash the tires,,blame it on the maid of honor,get another job,throw disobedient passengers off the boat,,ask a friend to take over,hide him in the snow
100,142,TRUE,1,,,1,1,,,1,1,1,1,1,1,,1,97,96,,,34,Female,White / Caucasian,,College Graduate (4 year),Rung 3,commit credit card fraud,,,lie that she left her card inside,copy a friend's assignment,,,read his mind,tailgate the car,call her a cab,pour water on the car to cool it,threaten security with the knife,run away,,serve engine fuel to the passengers,leave Todd to save herself,leave the store unattended,
100,98,TRUE,73,31,,25,97,,,65,,76,,84,40,55,74,55,,47,,30,Male,White / Caucasian,,College Graduate (4 year),Rung 8,go on strike for better wages,demand that the airline delays the flight,,crawl past the front desk,call her mom,,,wave to the parents,,take her to his house but no further,,threaten security with the knife,steal someone else’s ring,buy his father a tent,serve engine fuel to the passengers,hike until she finds cell service,,hide him in the snow
100,151,TRUE,41,29,62,72,75,44,45,,,67,50,,,30,,29,,62,,43,Female,Black / African American,,Master's Degree (MS),Rung 8,switch insurance plans,reschedule for a later flight,get an advance payday loan,pull the fire alarm,copy a friend's assignment,search for a water source,teleport into the concert,,,steal whatever she has on her,slash the tires,,,abandon his father,,saw Todd’s arm off,,carry her competitor on her sled
100,94,TRUE,,,58,78,51,49,32,91,87,91,,,93,73,,69,,68,,26,Female,White / Caucasian,,College Graduate (4 year),Rung 5,,,explain the situation to his boss,borrow someone's phone,hypnotize the teacher,throw away all of the food,go without Ted,tackle him and hold him down,take a detour at the next exit,call her a cab,,,tell his sister as soon as possible,move into his father’s apartment,,get her arm stuck in solidarity,,call for help
100,132,TRUE,,61,52,62,60,50,,50,54,51,,,64,,,52,61,51,,23,Female,Black / African American,,Master's Degree (MS),Rung 6,,call a taxi,get an advance payday loan,lie that she left her card inside,bring in the assignment the next day,search for a water source,,wave to the parents,tailgate the car,yell in gibberish until she leaves,,,borrow their mom’s wedding ring,,,yell at Todd for getting stuck,lock up the store,carry her competitor on her sled
100,151,TRUE,,,85,,100,73,78,63,72,72,85,,80,72,,65,,81,,43,Male,Black / African American,,College Graduate (4 year),Rung 7,,,overcharge the next customers,,lie that her house burnt down,huddle to conserve energy,pretend they are conjoined twins,make cat noises at him until he leaves,take a detour at the next exit,call her a cab,check that the doors are locked,,tell his sister as soon as possible,pitch his situation to a reality TV network,,get her arm stuck in solidarity,,hide him in the snow
100,176,TRUE,2,0,,,,,2,26,2,0,90,8,8,,95,7,77,,,36,Female,White / Caucasian,,Master's Degree (MS),Rung 5,commit credit card fraud,steal a passing driver's car,,,,,steal someone else's ticket,keep an eye on him,ram into the car,turn invisible,check that the doors are locked,take a train instead,run away,,ration their food,yell at Todd for getting stuck,lock up the store,
