Progress,Duration (in seconds),Finished,S1_1_1,S1_2_1,S2-1_1,S2-2_1,S3-1_1,S3-2_1,S4-1_1,S4-2_1,S5-1_1,S5-2_1,S6-1_1,S6-2_1,S7-1_1,S7-2_1,S8-1_1,S8-2_1,S9-1_1,S9-2_1,S10-1_1,S10-2_1,S11-1_1,S11-2_1,S12-1_1,S12-2_1,S13-1_1,S13-2_1,S14-1_1,S14-2_1,S15-1_1,S15-2_1,S16-1_1,S16-2_1,S17-1_1,S17-2_1,S18-1_1,S18-2_1,demo,age,gender,ethnicity,ethnicity_6_TEXT,education,ses,S1A,S2A,S3A,S4A,S5A,S6A,S7A,S8A,S9A,S10A,S11A,S12A,S13A,S14A,S15A,S16A,S17A,S18A
100,380,TRUE,,,10,0,100,0,70,10,60,0,,,,,,,,,95,0,90,20,100,100,,,10,5,30,15,30,10,30,10,40,100,,39,Male,White / Caucasian,,College Graduate (4 year),Rung 6,,reschedule for a later flight,sell one of his kidneys,renew her membership,call her mom,,,,,turn invisible,check that the doors are locked,threaten security with the knife,,get another job,ration their food,leave Todd to save herself,tell his lawyer that he’s sick,call for help
100,433,TRUE,44,15,88,56,55,14,30,6,37,0,38,0,74,88,,,,,100,20,,,,,100,60,,,100,90,78,29,,,88,16,,23,Male,Black / African American,,Some College,Rung 4,start a fundraiser,try to convince a passing driver to trade cars,explain the situation to his boss,pay for a day-pass to the gym,quickly try to redo the assignment,huddle to conserve energy,give her ticket to Ted,,,steal whatever she has on her,,,run away,,sell all the food to the highest bidder,hike until she finds cell service,,finish the race
100,575,TRUE,,,80,40,,,,,100,80,50,50,100,80,70,80,70,50,,,100,50,100,80,,,70,50,50,0,,,100,100,100,100,,39,Female,White / Caucasian,,Master's Degree (MS),Rung 4,,steal a passing driver's car,,,copy a friend's assignment,collect wood to start a fire,pretend they are conjoined twins,wave to the parents,tailgate the car,,pour water on the car to cool it,pretend the knife is part of a hip replacement,,check in on his father daily,request supplies to be airdropped,,stage a break-in at the store,leave her dogs with him
100,215,TRUE,79,76,75,70,,,,,81,74,65,72,,,,,94,85,75,77,72,80,,,67,70,74,84,,,76,74,77,85,75,71,,45,Male,Black / African American,,Master's Degree (MS),Rung 7,go on strike for better wages,take a public bus,,,hypnotize the teacher,search for a water source,,,pull over and call 911,refuse to drive her,check that the doors are locked,,steal someone else’s ring,abandon his father,,get her arm stuck in solidarity,ask a friend to take over,leave her dogs with him
100,656,TRUE,75,24,,,69,37,41,22,,,,,,,88,61,73,1,57,3,96,85,54,40,53,35,78,9,,,38,0,84,95,,,,43,Female,White / Caucasian,,Master's Degree (MS),Rung 6,search for the medication on the black market,,get an advance payday loan,borrow someone's phone,,,,tackle him and hold him down,take a detour at the next exit,yell in gibberish until she leaves,light a fire under the car,ask to check the knife,borrow their mom’s wedding ring,pitch his situation to a reality TV network,,give Todd her water,lock up the store,
100,891,TRUE,100,91,100,40,,,60,100,,,100,40,23,50,49,50,100,50,,,100,50,,,100,30,51,20,,,,,100,100,50,19,,40,Male,Hispanic / Latino,,Some College,Rung 3,go on strike for better wages,try to convince a passing driver to trade cars,,crawl past the front desk,,steal all of the food and water,go without Ted,read his mind,ram into the car,,slash the tires,,blame it on the maid of honor,move into his father’s apartment,,,leave the store unattended,hide him in the snow
100,730,TRUE,100,0,,,100,34,95,6,,,,,,,88,64,96,67,66,81,83,0,24,29,69,75,98,73,,,83,37,0,0,,,,27,Female,White / Caucasian,,Some College,Rung 3,commit credit card fraud,,stage a robbery,pull the fire alarm,,,,keep an eye on him,honk at the driver until they pull over,steal whatever she has on her,ask to use the mall's loudspeaker,store the knife in an airport locker,tell his sister as soon as possible,buy his father a tent,,yell at Todd for getting stuck,tell his lawyer that he’s sick,
100,380,TRUE,80,25,16,25,65,25,10,10,,,95,10,60,65,65,85,15,10,,,,,90,85,,,70,20,100,100,,,60,85,,,,42,Female,White / Caucasian,,College Graduate (4 year),Rung 6,take out a loan,call a taxi,pay the money from his own wallet,renew her membership,,boost morale with a three-legged race,steal someone else's ticket,ask the parents if they know him,pull over and call 911,,,take a train instead,,move into his father’s apartment,serve engine fuel to the passengers,,ask a friend to take over,
100,699,TRUE,,,76,100,100,100,100,0,0,0,100,0,97,60,90,99,,,85,50,75,0,,,,,,,100,100,100,85,,,100,60,,44,Male,White / Caucasian,,Some College,Rung 3,,demand that the airline delays the flight,overcharge the next customers,pull the fire alarm,bring in the assignment the next day,throw away all of the food,teleport into the concert,make cat noises at him until he leaves,,call her a cab,call emergency services,,,,throw disobedient passengers off the boat,saw Todd’s arm off,,carry her competitor on her sled
100,577,TRUE,85,25,91,64,,,,,99,72,62,33,0,0,,,39,42,,,,,91,88,19,14,43,55,100,82,,,73,31,36,27,,41,Male,White / Caucasian,,College Graduate (4 year),Rung 7,start a fundraiser,demand that the airline delays the flight,,,hypnotize the teacher,collect wood to start a fire,teleport into the concert,,honk an angry message in Morse code,,,pretend the knife is part of a hip replacement,tell his sister as soon as possible,get another job,sell all the food to the highest bidder,,call his lawyer,carry her competitor on her sled
100,322,TRUE,59,54,91,47,,,90,58,41,18,71,83,92,88,,,,,92,61,,,,,100,41,51,31,40,28,58,67,57,71,,,,33,Female,White / Caucasian,,College Graduate (4 year),Rung 7,search for the medication on the black market,steal a passing driver's car,,crawl past the front desk,call her mom,huddle to conserve energy,steal someone else's ticket,,,turn invisible,,,blame it on the maid of honor,check in on his father daily,request supplies to be airdropped,leave Todd to save herself,call his lawyer,
100,647,TRUE,,,,,75,60,95,50,91,35,,,70,65,65,85,,,80,30,90,60,98,40,85,20,,,100,93,100,45,,,98,95,,43,Male,White / Caucasian,,College Graduate (4 year),Rung 3,,,explain the situation to his boss,lie that she left her card inside,lie that her house burnt down,,try to buy a ticket off another person,make cat noises at him until he leaves,,yell in gibberish until she leaves,ask to use the mall's loudspeaker,threaten security with the knife,steal someone else’s ring,,serve engine fuel to the passengers,get her arm stuck in solidarity,,steal his dogs for extra speed
100,340,TRUE,29,71,71,40,99,100,30,0,90,10,20,2,,,93,0,98,70,,,96,0,98,100,,,,,96,0,,,,,30,70,,36,Male,Hispanic / Latino,,College Graduate (4 year),Rung 4,take out a loan,take a public bus,overcharge the next customers,pay for a day-pass to the gym,copy a friend's assignment,search for a water source,,read his mind,honk at the driver until they pull over,,pour water on the car to cool it,ask to check the knife,,,throw disobedient passengers off the boat,,,call for help
100,593,TRUE,,,45,30,100,11,31,10,50,30,100,20,29,20,100,91,,,100,20,100,70,,,81,50,,,,,100,70,100,100,,,,39,Male,White / Caucasian,,Some College,Rung 2,,reschedule for a later flight,sell one of his kidneys,lie that she left her card inside,bring in the assignment the next day,steal all of the food and water,go without Ted,tackle him and hold him down,,take her to his house but no further,light a fire under the car,,borrow their mom’s wedding ring,,,saw Todd’s arm off,stage a break-in at the store,
100,1562,TRUE,,,,,79,26,,,,,,,92,72,44,65,100,84,84,57,100,0,92,62,15,88,83,53,,,90,0,97,73,100,33,,25,Female,White / Caucasian,,College Graduate (4 year),Rung 7,,,get an advance payday loan,,,,pretend they are conjoined twins,ask the parents if they know him,tailgate the car,refuse to drive her,slash the tires,store the knife in an airport locker,call the taxi company,abandon his father,,yell at Todd for getting stuck,lock up the store,hide him in the snow
100,255,TRUE,65,35,,,88,100,,,75,65,25,0,,,,,85,55,86,52,100,43,100,100,65,29,61,30,54,51,82,70,,,,,,24,Female,White / Caucasian,,High School or equivalent,Rung 3,commit credit card fraud,,stage a robbery,,copy a friend's assignment,collect wood to start a fire,,,take a detour at the next exit,turn invisible,pour water on the car to cool it,threaten security with the knife,tell his sister as soon as possible,buy his father a tent,serve engine fuel to the passengers,leave Todd to save herself,,
100,408,TRUE,,,20,5,70,3,,,96,10,,,80,60,,,90,12,80,30,80,20,,,70,40,80,20,25,4,75,5,80,90,,,,62,Male,White / Caucasian,,College Graduate (4 year),Rung 8,,call a taxi,get an advance payday loan,,hypnotize the teacher,,give her ticket to Ted,,honk an angry message in Morse code,call her a cab,call emergency services,,borrow their mom’s wedding ring,check in on his father daily,ration their food,hike until she finds cell service,leave the store unattended,
100,482,TRUE,99,83,,,35,10,100,92,,,,,22,8,,,96,99,,,100,0,9,18,99,5,51,20,22,8,,,91,92,96,96,,57,Female,Other,Human,Other,Rung 5,switch insurance plans,,pay the money from his own wallet,lie that she left her card inside,,,try to buy a ticket off another person,,ram into the car,,slash the tires,take a train instead,run away,pitch his situation to a reality TV network,organize a fishing crew,,lock up the store,finish the race
100,428,TRUE,12,0,19,0,100,100,4,0,,,100,0,,,76,0,,,12,10,100,59,3,11,,,100,100,,,84,73,,,100,0,,32,Male,White / Caucasian,,Vocational/Technical School (2 year),Rung 2,take out a loan,take a public bus,stage a robbery,borrow someone's phone,,throw away all of the food,,wave to the parents,,call her a cab,call emergency services,take a train instead,,buy his father a tent,,hike until she finds cell service,,steal his dogs for extra speed
100,750,TRUE,,,42,50,77,80,42,30,,,,,73,39,32,69,64,40,37,61,62,25,68,34,,,,,68,55,,,35,72,69,41,,53,Female,Asian / Pacific Islander,,College Graduate (4 year),Rung 6,,reschedule for a later flight,overcharge the next customers,borrow someone's phone,,,teleport into the concert,wave to the parents,honk an angry message in Morse code,refuse to drive her,ask to use the mall's loudspeaker,pretend the knife is part of a hip replacement,,,request supplies to be airdropped,,ask a friend to take over,finish the race
